Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
10,558,9,1,Cro,dućan,fill
10,2276,9,1,Cro,ubojstvo,fill
10,668,4,1,Cro,tobogan,fill
10,776,9,1,Cro,potraga,fill
10,542,6,1,Cro,prozor,fill
10,1035,5,1,Cro,putnik,fill
10,1094,2,1,Eng,roaming,no
10,1038,4,1,Cro,zadah,fill
10,2693,8,0,Cro,tronožac,fill
10,1995,9,1,Cro,kamion,fill
10,302,4,1,Cro,upaljač,fill
10,331,5,1,Cro,dečko,fill
10,823,3,1,Cro,dugme,Cro
10,1167,8,1,Cro,gležnjača,fill
10,2447,2,1,Eng,styling,no
10,340,9,1,Cro,pojas,fill
10,795,7,1,Cro,mišljenje,fill
10,972,6,1,Cro,volja,fill
10,1382,8,1,Cro,pretisak,fill
10,885,3,1,Cro,mravinjak,Cro
10,917,9,1,Cro,kuhinja,fill
10,745,9,1,Cro,požar,fill
10,513,7,1,Cro,mjesec,fill
10,1597,11,1,Eng,cinema,yes
10,340,7,1,Cro,majka,fill
10,272,9,1,Cro,zlato,fill
10,309,7,1,Cro,stoljeće,fill
10,3121,6,0,Cro,roman,fill
10,486,5,1,Cro,suprug,fill
10,335,2,1,Eng,software,no
10,666,7,1,Cro,nagrada,fill
10,259,7,1,Cro,učenik,fill
10,1138,2,1,Eng,hashtag,no
10,406,11,1,Eng,silver,yes
10,355,9,1,Cro,rođendan,fill
10,1626,8,0,Cro,klizačica,fill
10,501,9,1,Cro,rijeka,fill
10,657,9,1,Cro,pošta,fill
10,161,2,1,Eng,selfie,no
10,190,7,1,Cro,škola,fill
10,259,6,1,Cro,poziv,fill
10,313,3,1,Cro,čekić,Cro
10,145,3,1,Cro,motika,Cro
10,978,8,1,Cro,gojaznost,fill
10,860,3,1,Cro,toljaga,Cro
10,1188,11,1,Eng,button,yes
10,324,2,1,Eng,muffin,no
10,318,7,1,Cro,voda,fill
10,410,3,1,Cro,griva,Cro
10,459,8,1,Cro,odvijač,fill
10,312,7,1,Cro,izvor,fill
10,606,9,1,Cro,postaja,fill
10,91,6,1,Cro,kazalište,fill
10,10,9,1,Cro,otpad,fill
10,1100,9,1,Cro,torba,fill
10,3868,9,1,Cro,živac,fill
10,882,4,1,Cro,bušilica,fill
10,686,5,1,Cro,ptica,fill
10,120,3,0,Cro,straža,Cro
10,142,6,1,Cro,imovina,fill
10,884,11,1,Eng,gadget,yes
10,1234,6,1,Cro,izvješće,fill
10,985,8,1,Cro,kiparica,fill
10,2258,4,1,Cro,vjetrovka,fill
10,661,9,1,Cro,ključ,fill
10,597,4,1,Cro,madež,fill
10,3237,5,0,Cro,pobjednik,fill
10,3138,5,1,Cro,nogometaš,fill
10,488,11,1,Eng,browser,yes
10,575,7,1,Cro,bolest,fill
10,1418,6,1,Cro,izmjena,fill
10,1114,4,1,Cro,doušnik,fill
10,712,9,1,Cro,uzorak,fill
10,996,3,1,Cro,brodolom,Cro
10,2615,11,1,Eng,music,yes
10,2402,8,1,Cro,batrljak,fill
10,270,9,1,Cro,obavijest,fill
10,511,4,1,Cro,krvnik,fill
10,578,6,1,Cro,obala,fill
10,794,2,1,Eng,router,no
10,349,5,1,Cro,seljak,fill
10,1159,3,1,Cro,ukosnica,Cro
