Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
8,598,7,1,Cro,voda,fill
8,735,11,1,Eng,family,yes
8,1199,3,1,Cro,ukosnica,Cro
8,386,2,1,Eng,smoothie,no
8,777,5,1,Cro,nogometaš,fill
8,473,9,1,Cro,pošta,fill
8,639,9,1,Cro,kuhinja,fill
8,935,7,1,Cro,mišljenje,fill
8,1268,11,1,Eng,browser,yes
8,884,4,1,Cro,tobogan,fill
8,1256,3,1,Cro,čekić,Cro
8,949,9,1,Cro,zlato,fill
8,817,11,1,Eng,gadget,yes
8,815,11,0,Eng,freak,yes
8,1200,9,1,Cro,postaja,fill
8,783,5,1,Cro,suprug,fill
8,920,9,1,Cro,uzorak,fill
8,575,5,1,Cro,sudac,fill
8,955,2,1,Eng,software,no
8,892,9,1,Cro,pojas,fill
8,853,3,1,Cro,brodolom,Cro
8,1040,4,1,Cro,zadah,fill
8,708,9,1,Cro,dućan,fill
8,1276,8,1,Cro,gležnjača,fill
8,716,7,1,Cro,bolest,fill
8,986,7,1,Cro,izvor,fill
8,990,9,1,Cro,otpad,fill
8,950,4,1,Cro,vjetrovka,fill
8,701,7,1,Cro,mjesec,fill
8,618,4,1,Cro,upaljač,fill
8,1214,8,0,Cro,klizačica,fill
8,997,7,1,Cro,nagrada,fill
8,1018,11,1,Eng,button,yes
8,752,11,1,Eng,music,yes
8,805,8,1,Cro,odvijač,fill
8,575,3,1,Cro,motika,Cro
8,523,3,1,Cro,mravinjak,Cro
8,993,6,1,Cro,izmjena,fill
8,1117,5,0,Cro,ubojica,fill
8,1185,11,1,Eng,stage,yes
8,1011,9,1,Cro,požar,fill
8,817,9,1,Cro,ubojstvo,fill
8,889,9,1,Cro,rijeka,fill
8,568,7,1,Cro,učenik,fill
8,635,2,1,Eng,catering,no
8,407,5,1,Cro,ptica,fill
8,550,8,1,Cro,podvezica,fill
8,651,4,0,Cro,krvnik,fill
8,705,8,1,Cro,tronožac,fill
8,856,3,1,Cro,toljaga,Cro
8,521,2,1,Eng,hashtag,no
8,839,9,1,Cro,stolica,fill
8,841,6,1,Cro,poziv,fill
8,791,5,1,Cro,vojnik,fill
8,223,9,1,Cro,rođendan,fill
8,621,2,1,Eng,outfit,no
8,402,9,1,Cro,kamion,fill
8,896,5,0,Cro,pobjednik,fill
8,898,7,1,Cro,stoljeće,fill
8,585,5,1,Cro,dečko,fill
8,742,6,1,Cro,kazna,fill
8,465,5,1,Cro,seljak,fill
8,718,11,1,Eng,grill,yes
8,431,6,1,Cro,obala,fill
8,453,6,1,Cro,izvješće,fill
8,706,7,1,Cro,škola,fill
8,690,11,1,Eng,silver,yes
8,935,2,1,Eng,selfie,no
8,669,4,1,Cro,madež,fill
8,413,2,1,Eng,router,no
8,633,2,1,Eng,styling,no
8,513,6,1,Cro,roman,fill
8,235,9,1,Cro,obavijest,fill
8,116,4,0,Cro,doušnik,fill
8,240,11,1,Eng,cinema,yes
8,418,8,1,Cro,pretisak,fill
8,604,8,1,Cro,batrljak,fill
8,462,9,1,Cro,torba,fill
8,722,9,1,Cro,spavanje,fill
8,468,2,1,Eng,roaming,no
8,670,6,1,Cro,imovina,fill
8,654,3,1,Cro,dugme,Cro
8,604,8,0,Cro,stjenica,fill
8,879,6,1,Cro,volja,fill
8,625,6,1,Cro,kazalište,fill
8,222,3,1,Cro,griva,Cro
8,775,9,1,Cro,živac,fill
8,588,9,1,Cro,ključ,fill
8,704,8,1,Cro,gojaznost,fill
8,785,8,0,Cro,kiparica,fill
8,852,6,1,Cro,prozor,fill
8,790,4,1,Cro,bušilica,fill
8,722,3,1,Cro,sumrak,Cro
8,474,7,1,Cro,majka,fill
8,326,5,0,Cro,putnik,fill
8,311,4,0,Cro,grofica,fill
8,1280,9,1,Cro,potraga,fill
8,1051,3,0,Cro,straža,Cro
8,786,2,1,Eng,muffin,no
8,894,4,1,Cro,tjesnac,fill
