Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
11,1164,3,1,Cro,mravinjak,Cro
11,826,3,1,Cro,griva,Cro
11,299,4,1,Cro,tobogan,fill
11,258,6,1,Cro,poziv,fill
11,307,5,1,Cro,ptica,fill
11,184,7,1,Cro,mjesec,fill
11,24,5,1,Cro,dečko,fill
11,141,4,1,Cro,bušilica,fill
11,195,3,1,Cro,brodolom,Cro
11,209,9,1,Cro,kuhinja,fill
11,341,11,1,Eng,music,yes
11,279,6,1,Cro,izmjena,fill
11,255,9,1,Cro,postaja,fill
11,116,9,1,Cro,obavijest,fill
11,272,11,1,Eng,stage,yes
11,136,6,1,Cro,imovina,fill
11,46,6,1,Cro,izvješće,fill
11,284,2,1,Eng,roaming,no
11,309,2,1,Eng,selfie,no
11,176,5,1,Cro,vojnik,fill
11,187,6,1,Cro,prozor,fill
11,189,9,1,Cro,rijeka,fill
11,394,8,1,Cro,podvezica,fill
11,461,11,0,Eng,freak,yes
11,177,6,1,Cro,kazna,fill
11,209,6,1,Cro,roman,fill
11,254,4,1,Cro,zadah,fill
11,210,3,1,Cro,motika,Cro
11,429,7,1,Cro,stoljeće,fill
11,293,2,1,Eng,muffin,no
11,162,8,1,Cro,tronožac,fill
11,298,9,1,Cro,pojas,fill
11,87,9,1,Cro,rođendan,fill
11,106,4,0,Cro,grofica,fill
11,421,9,1,Cro,stolica,fill
11,200,4,1,Cro,doušnik,fill
11,269,2,1,Eng,catering,no
11,206,8,1,Cro,odvijač,fill
11,287,11,1,Eng,silver,yes
11,225,9,1,Cro,otpad,fill
11,152,2,1,Eng,router,no
11,175,9,1,Cro,ubojstvo,fill
11,361,8,1,Cro,gojaznost,fill
11,227,7,1,Cro,bolest,fill
11,187,2,1,Eng,smoothie,no
11,324,6,1,Cro,volja,fill
11,244,4,1,Cro,madež,fill
11,220,6,1,Cro,kazalište,fill
11,165,5,1,Cro,suprug,fill
11,124,7,1,Cro,nagrada,fill
11,165,5,1,Cro,pobjednik,fill
11,154,3,1,Cro,dugme,Cro
11,270,9,1,Cro,dućan,fill
11,187,9,1,Cro,kamion,fill
11,203,8,0,Cro,kiparica,fill
11,307,11,1,Eng,button,yes
11,543,8,1,Cro,pretisak,fill
11,497,9,1,Cro,potraga,fill
11,183,9,1,Cro,živac,fill
11,285,3,1,Cro,toljaga,Cro
11,209,4,1,Cro,tjesnac,fill
11,59,7,1,Cro,majka,fill
11,247,5,1,Cro,ubojica,fill
11,198,3,1,Cro,čekić,Cro
11,208,7,1,Cro,učenik,fill
11,116,7,1,Cro,izvor,fill
11,236,11,1,Eng,browser,yes
11,88,11,1,Eng,gadget,yes
11,599,9,1,Cro,uzorak,fill
11,278,11,1,Eng,grill,yes
11,291,5,1,Cro,seljak,fill
11,210,9,1,Cro,pošta,fill
11,284,9,1,Cro,požar,fill
11,296,2,1,Eng,outfit,no
11,217,7,1,Cro,škola,fill
11,177,4,1,Cro,upaljač,fill
11,270,4,1,Cro,vjetrovka,fill
11,349,3,1,Cro,straža,Cro
11,218,5,1,Cro,putnik,fill
11,285,4,1,Cro,krvnik,fill
11,183,5,1,Cro,nogometaš,fill
11,170,2,1,Eng,software,no
11,344,8,1,Cro,batrljak,fill
11,301,3,1,Cro,sumrak,Cro
11,198,9,1,Cro,ključ,fill
11,118,2,1,Eng,hashtag,no
11,211,9,1,Cro,zlato,fill
11,451,9,1,Cro,torba,fill
11,571,8,1,Cro,klizačica,fill
11,236,3,1,Cro,ukosnica,Cro
11,413,11,1,Eng,cinema,yes
11,491,8,1,Cro,gležnjača,fill
11,184,5,1,Cro,sudac,fill
11,197,11,1,Eng,family,yes
11,330,8,0,Cro,stjenica,fill
11,136,9,1,Cro,spavanje,fill
11,232,6,1,Cro,obala,fill
11,202,7,1,Cro,voda,fill
11,453,7,1,Cro,mišljenje,fill
11,197,2,1,Eng,styling,no
11,271,5,1,Cro,ovisnik,fill
11,194,9,1,Cro,mišić,fill
11,370,7,1,Cro,općina,fill
11,270,8,1,Cro,podmetač,fill
11,171,7,1,Cro,usluga,fill
11,236,9,1,Cro,vjetar,fill
11,597,9,1,Cro,šećer,fill
11,403,6,1,Cro,mlijeko,fill
11,392,6,1,Cro,zvijezda,fill
11,309,7,1,Cro,plaća,fill
11,234,3,1,Cro,litica,Cro
11,163,7,1,Cro,prijatelj,fill
11,985,8,0,Cro,stonoga,fill
11,257,9,1,Cro,majica,fill
11,195,2,1,Eng,curry,no
11,83,5,1,Cro,dječak,fill
11,139,6,1,Cro,pismo,fill
11,286,11,1,Eng,racing,yes
11,211,4,1,Cro,zvono,fill
11,175,7,1,Cro,vlasnik,fill
11,212,2,1,Eng,fairplay,no
11,222,3,1,Cro,štaka,Cro
11,138,9,1,Cro,trgovina,fill
11,278,8,1,Cro,žalac,fill
11,180,11,1,Eng,gaming,yes
11,168,6,1,Cro,ljeto,fill
11,422,9,1,Cro,rođenje,fill
11,318,3,1,Cro,vidra,Cro
11,232,5,1,Cro,supruga,fill
11,391,2,1,Eng,gameplay,no
11,179,11,1,Eng,event,yes
11,226,6,1,Cro,radionica,fill
11,144,2,1,Eng,snowboard,no
11,129,6,1,Cro,časopis,fill
11,143,8,1,Cro,šiljilo,fill
11,139,9,1,Cro,bolnica,fill
11,233,8,1,Cro,jarebica,fill
11,158,3,1,Cro,gusjenica,Cro
11,118,7,1,Cro,stranica,fill
11,251,5,1,Cro,domaćin,fill
11,204,3,1,Cro,ronilac,Cro
11,184,2,1,Eng,summit,no
11,258,4,1,Cro,crijep,fill
11,487,8,0,Cro,obad,fill
11,256,11,1,Eng,store,yes
11,242,7,1,Cro,razvoj,fill
11,907,2,1,Eng,crossover,no
11,742,8,1,Cro,džepar,fill
11,371,3,1,Cro,kliješta,Cro
11,298,3,1,Cro,zaporka,Cro
11,285,5,0,Cro,slikar,fill
11,118,7,1,Cro,potreba,fill
11,265,2,1,Eng,backup,no
11,481,7,0,Cro,odbor,fill
11,184,3,1,Cro,odvod,Cro
11,172,9,1,Cro,večera,fill
11,399,9,1,Cro,haljina,fill
11,332,9,1,Cro,planina,fill
11,252,7,1,Cro,crkva,fill
11,292,9,1,Cro,kutija,fill
11,209,11,1,Eng,player,yes
11,475,4,0,Cro,krastača,fill
11,300,4,1,Cro,kobasica,fill
11,221,5,1,Cro,borac,fill
11,609,11,1,Eng,company,yes
11,679,11,0,Eng,rookie,yes
11,283,6,1,Cro,nogomet,fill
11,470,9,1,Cro,jabuka,fill
11,428,4,1,Cro,trska,fill
11,94,6,1,Cro,prilog,fill
11,318,9,1,Cro,ulica,fill
11,281,4,1,Cro,maslac,fill
11,311,2,1,Eng,casting,no
11,234,6,1,Cro,stanica,fill
11,171,5,1,Cro,kraljica,fill
11,193,3,1,Cro,odijelo,Cro
11,263,9,1,Cro,obrana,fill
11,398,11,1,Eng,street,yes
11,949,9,1,Cro,bitka,fill
11,320,2,1,Eng,webshop,no
11,140,5,1,Cro,pjevač,fill
11,688,9,1,Cro,policija,fill
11,265,8,1,Cro,skorbut,fill
11,307,6,1,Cro,računalo,fill
11,268,9,1,Cro,krilo,fill
11,320,9,1,Cro,obrazac,fill
11,318,8,1,Cro,bubuljica,fill
11,293,2,1,Eng,lifestyle,no
11,234,5,1,Cro,prvak,fill
11,455,4,1,Cro,mesnica,fill
11,343,4,0,Cro,gubitnik,fill
11,229,9,1,Cro,sloboda,fill
11,230,5,1,Cro,župnik,fill
11,271,4,1,Cro,otirač,fill
11,645,8,1,Cro,šmokljan,fill
11,173,9,1,Cro,smijeh,fill
11,214,11,1,Eng,color,yes
11,272,3,1,Cro,maćeha,Cro
11,461,4,1,Cro,rokovnik,fill
11,264,11,1,Eng,display,yes
11,384,7,1,Cro,muškarac,fill
11,6199,2,1,Eng,inbox,no
11,540,3,0,Cro,bilježnik,Cro
11,209,5,1,Cro,trgovac,fill
11,207,5,1,Cro,odvjetnik,fill
11,176,7,1,Cro,radnik,fill
11,109,2,1,Eng,hattrick,no
11,209,2,1,Eng,evergreen,no
11,194,6,1,Cro,lopta,fill
11,57,9,1,Cro,autocesta,fill
11,415,8,1,Cro,čuperak,fill
11,134,9,1,Cro,posada,fill
11,137,6,1,Cro,ozljeda,fill
11,173,2,1,Eng,firewall,no
11,407,8,0,Cro,pospanac,fill
11,262,11,1,Eng,cherry,yes
11,211,11,0,Eng,gamer,yes
11,155,5,0,Cro,glumica,fill
11,172,4,0,Cro,strijela,fill
11,648,8,1,Cro,škrtost,fill
11,568,9,1,Cro,proljeće,fill
11,528,9,1,Cro,gotovina,fill
11,231,4,0,Cro,vrtlar,fill
11,244,5,1,Cro,mačka,fill
11,461,8,1,Cro,tamničar,fill
11,285,9,1,Cro,jezero,fill
11,137,5,1,Cro,kralj,fill
11,360,9,1,Cro,rečenica,fill
11,456,7,1,Cro,zaštita,fill
11,246,5,1,Cro,krava,fill
11,361,3,1,Cro,kabanica,Cro
11,132,8,1,Cro,svodnik,fill
11,43,6,1,Cro,greška,fill
11,342,4,1,Cro,nesanica,fill
11,215,7,0,Cro,vijeće,fill
11,256,9,1,Cro,vojska,fill
11,191,6,1,Cro,prijava,fill
11,348,11,1,Eng,garden,yes
11,339,9,1,Cro,lanac,fill
11,229,3,1,Cro,umorstvo,Cro
11,730,9,1,Cro,izlet,fill
11,179,8,1,Cro,lasica,fill
11,290,7,1,Cro,borba,fill
11,332,5,1,Cro,djevojka,fill
11,90,4,1,Cro,sprovod,fill
11,277,4,1,Cro,vidra,fill
11,173,7,1,Cro,država,fill
11,201,6,1,Cro,sunce,fill
11,718,6,1,Cro,sastanak,fill
11,294,6,1,Cro,okvir,fill
11,185,4,1,Cro,vepar,fill
11,462,9,1,Cro,pozornica,fill
11,263,4,1,Cro,slagalica,fill
11,166,6,1,Cro,povratak,fill
11,157,11,1,Eng,spice,yes
11,838,4,1,Cro,kamenica,fill
11,344,9,1,Cro,učenje,fill
11,419,8,1,Cro,drvosječa,fill
11,216,11,1,Eng,night,yes
11,217,7,1,Cro,tvrtka,fill
11,236,3,1,Cro,zagrljaj,Cro
11,267,7,1,Cro,tijelo,fill
11,310,9,0,Cro,stablo,fill
11,140,11,1,Eng,brand,yes
11,397,4,1,Cro,siroče,fill
11,314,9,1,Cro,ovisnost,fill
11,225,2,1,Eng,banner,no
11,657,2,1,Eng,catwalk,no
11,286,3,1,Cro,naslonjač,Cro
11,129,2,1,Eng,firmware,no
11,352,5,0,Cro,umjetnik,fill
11,116,8,1,Cro,čaplja,fill
11,757,6,1,Cro,tvornica,fill
11,157,5,1,Cro,pisac,fill
11,217,9,1,Cro,gorivo,fill
11,200,9,1,Cro,oluja,fill
11,190,3,1,Cro,zvečka,Cro
11,223,3,1,Cro,ubrus,Cro
11,189,7,1,Cro,knjiga,fill
11,201,3,1,Cro,golubica,Cro
11,210,3,1,Cro,cvrčak,Cro
11,288,11,1,Eng,research,yes
11,620,11,1,Eng,winter,yes
11,707,3,1,Cro,vrućica,Cro
11,228,8,1,Cro,rupčić,fill
11,178,8,1,Cro,bivol,fill
11,264,9,1,Cro,plaža,fill
11,508,9,1,Cro,trudnoća,fill
11,344,9,1,Cro,vrtić,fill
11,256,11,1,Eng,nature,yes
11,183,11,1,Eng,party,yes
11,302,6,1,Cro,pokret,fill
11,742,9,1,Cro,postrojba,fill
11,298,9,1,Cro,kotač,fill
11,90,4,1,Cro,nosorog,fill
11,219,2,0,Eng,developer,no
11,204,7,1,Cro,cijena,fill
11,444,2,1,Eng,jackpot,no
11,202,2,1,Eng,wellness,no
11,138,5,1,Cro,biljka,fill
11,180,11,1,Eng,space,yes
11,421,5,1,Cro,vozač,fill
11,136,8,1,Cro,britva,fill
11,529,2,0,Eng,frontman,no
11,462,4,1,Cro,trijem,fill
11,361,7,1,Cro,zajednica,fill
11,239,7,0,Cro,pobjeda,fill
11,264,5,1,Cro,svećenik,fill
11,473,3,1,Cro,jecaj,Cro
11,387,8,1,Cro,najamnik,fill
11,229,7,1,Cro,glazba,fill
11,696,4,1,Cro,udovac,fill
11,346,9,1,Cro,jesen,fill
11,413,2,1,Eng,charter,no
11,334,9,1,Cro,cipela,fill
11,175,8,1,Cro,bolničar,fill
11,296,2,1,Eng,website,no
11,40,9,1,Cro,polica,fill
11,251,9,1,Cro,vrata,fill
11,345,2,1,Eng,blogger,no
11,261,2,1,Eng,streaming,no
11,290,4,1,Cro,ljuljačka,fill
11,275,9,1,Cro,vrhunac,fill
11,123,7,0,Cro,obitelj,fill
11,375,5,0,Cro,stanovnik,fill
11,350,8,1,Cro,pribadača,fill
11,272,9,1,Cro,groblje,fill
11,347,4,1,Cro,zjenica,fill
11,235,9,1,Cro,potpis,fill
11,352,4,1,Cro,sljepilo,fill
11,139,9,1,Cro,snijeg,fill
11,195,9,1,Cro,grijanje,fill
11,303,7,1,Cro,novac,fill
11,544,9,1,Cro,spomenik,fill
11,187,3,1,Cro,slastičar,Cro
11,240,6,1,Cro,kamen,fill
11,249,11,1,Eng,account,yes
11,684,8,1,Cro,sirutka,fill
11,357,3,1,Cro,izdajica,Cro
11,230,7,1,Cro,novinar,fill
11,197,9,1,Cro,staklo,fill
11,102,5,1,Cro,sestra,fill
11,753,8,0,Cro,nadničar,fill
11,292,2,1,Eng,bluetooth,no
11,466,8,1,Cro,fenjer,fill
11,225,7,1,Cro,pjesma,fill
11,309,9,1,Cro,šetnja,fill
11,409,6,1,Cro,porez,fill
11,152,5,1,Cro,savjetnik,fill
11,124,3,1,Cro,svitanje,Cro
11,184,3,1,Cro,užina,Cro
11,115,3,1,Cro,krijes,Cro
11,134,9,1,Cro,klupa,fill
11,317,7,1,Cro,korisnik,fill
11,239,4,1,Cro,nesvijest,fill
11,941,4,1,Cro,mljekar,fill
11,220,7,1,Cro,tjedan,fill
11,380,3,1,Cro,spavaćica,Cro
11,270,7,1,Cro,povijest,fill
11,241,9,1,Cro,sigurnost,fill
11,296,11,1,Eng,shopping,yes
11,211,11,1,Eng,trade,yes
11,100,4,1,Cro,hrčak,fill
11,239,6,1,Cro,oprema,fill
11,185,11,1,Eng,secret,yes
11,255,6,1,Cro,krevet,fill
11,375,8,1,Cro,krojačica,fill
11,174,5,1,Cro,liječnik,fill
11,163,5,1,Cro,učitelj,fill
11,223,2,1,Eng,youtuber,no
11,122,11,1,Eng,fight,yes
11,296,4,1,Cro,mamurluk,fill
11,360,9,1,Cro,poticaj,fill
11,131,8,1,Cro,smetlar,fill
11,130,11,1,Eng,cargo,yes
11,167,2,1,Eng,hardware,no
11,103,5,1,Cro,starac,fill
11,313,2,1,Eng,mobbing,no
11,182,6,1,Cro,pjena,fill
11,183,3,1,Cro,perika,Cro
11,82,5,1,Cro,klinac,fill
11,488,3,1,Cro,smetlište,Cro
11,260,3,1,Cro,svila,Cro
11,277,9,1,Cro,zastava,fill
11,291,6,1,Cro,snimanje,fill
11,625,6,1,Cro,udarac,fill
11,362,6,1,Cro,zadatak,fill
11,203,5,1,Cro,sportaš,fill
11,185,11,1,Eng,tuning,yes
11,344,4,0,Cro,poskok,fill
