Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
3,671,7,1,Cro,tjedan,fill
3,471,6,1,Cro,udarac,fill
3,2402,8,0,Cro,nadničar,fill
3,1236,2,1,Eng,mobbing,no
3,319,9,1,Cro,vrata,fill
3,779,2,1,Eng,blogger,no
3,249,2,1,Eng,bluetooth,no
3,1132,5,1,Cro,stanovnik,fill
3,492,3,1,Cro,smetlište,Cro
3,619,11,1,Eng,fashion,yes
3,153,3,1,Cro,užina,Cro
3,471,9,1,Cro,polica,fill
3,796,4,1,Cro,sljepilo,fill
3,294,5,1,Cro,liječnik,fill
3,407,7,1,Cro,korisnik,fill
3,2014,11,0,Eng,space,yes
3,777,7,1,Cro,povijest,fill
3,826,5,1,Cro,sestra,fill
3,468,3,1,Cro,spavaćica,Cro
3,518,3,1,Cro,svila,Cro
3,627,9,1,Cro,oporavak,fill
3,654,8,1,Cro,fenjer,fill
3,421,4,1,Cro,mljekar,fill
3,382,5,1,Cro,starac,fill
3,318,4,1,Cro,mamurluk,fill
3,983,11,1,Eng,secret,yes
3,638,9,1,Cro,sigurnost,fill
3,661,3,1,Cro,svitanje,Cro
3,513,3,1,Cro,izdajica,Cro
3,175,11,1,Eng,shopping,yes
3,478,9,1,Cro,poticaj,fill
3,198,5,1,Cro,savjetnik,fill
3,450,6,1,Cro,snimanje,fill
3,454,2,1,Eng,youtuber,no
3,434,6,1,Cro,pokušaj,fill
3,469,9,1,Cro,grijanje,fill
3,502,8,1,Cro,pribadača,fill
3,650,9,1,Cro,potpis,fill
3,359,5,1,Cro,svećenik,fill
3,366,9,1,Cro,cipela,fill
3,523,7,1,Cro,pjesma,fill
3,465,6,1,Cro,porez,fill
3,898,8,1,Cro,najamnik,fill
3,649,7,1,Cro,novinar,fill
3,390,5,1,Cro,klinac,fill
3,282,9,1,Cro,šetnja,fill
3,267,5,1,Cro,učitelj,fill
3,342,8,1,Cro,bolničar,fill
3,214,9,1,Cro,klupa,fill
3,395,11,1,Eng,account,yes
3,474,2,1,Eng,hardware,no
3,1004,2,1,Eng,frontman,no
3,243,9,1,Cro,groblje,fill
3,1253,3,1,Cro,krijes,Cro
3,340,4,1,Cro,poskok,fill
3,263,5,1,Cro,vozač,fill
3,343,9,1,Cro,spomenik,fill
3,315,9,1,Cro,zastava,fill
3,246,8,1,Cro,krojačica,fill
3,262,6,1,Cro,zadatak,fill
3,272,8,1,Cro,smetlar,fill
3,937,4,1,Cro,nesvijest,fill
3,627,7,0,Cro,obitelj,fill
3,362,9,1,Cro,izjava,fill
3,439,11,1,Eng,cargo,yes
3,695,2,1,Eng,leasing,no
3,241,7,1,Cro,pobjeda,fill
3,551,11,1,Eng,fight,yes
3,437,3,1,Cro,slastičar,Cro
3,151,4,1,Cro,hrčak,fill
3,128,6,1,Cro,krevet,fill
3,1210,7,0,Cro,zajednica,fill
3,358,9,1,Cro,jesen,fill
3,546,6,1,Cro,dokaz,fill
3,261,6,1,Cro,kamen,fill
3,407,9,1,Cro,ručak,fill
3,311,2,1,Eng,website,no
3,439,9,1,Cro,snijeg,fill
3,811,3,1,Cro,perika,Cro
3,252,4,1,Cro,trijem,fill
3,225,8,1,Cro,gušterica,fill
3,689,11,1,Eng,trade,yes
3,268,5,1,Cro,sportaš,fill
3,272,11,1,Eng,mirror,yes
3,448,6,1,Cro,pjena,fill
3,1128,9,1,Cro,samostan,fill
3,305,8,1,Cro,sirutka,fill
3,1270,2,1,Eng,charter,no
3,814,2,1,Eng,streaming,no
3,293,4,1,Cro,udovac,fill
3,40,8,1,Cro,britva,fill
3,871,9,1,Cro,staklo,fill
3,275,6,1,Cro,oprema,fill
3,265,3,1,Cro,jecaj,Cro
3,313,9,1,Cro,vrhunac,fill
3,3502,4,0,Cro,zjenica,fill
3,425,4,1,Cro,ljuljačka,fill
3,241,7,1,Cro,novac,fill
3,261,7,1,Cro,glazba,fill
3,275,11,1,Eng,tuning,yes
3,1012,7,0,Cro,tijelo,fill
3,440,4,1,Cro,kamenica,fill
3,309,6,1,Cro,povratak,fill
3,308,5,1,Cro,glumica,fill
3,92,7,1,Cro,muškarac,fill
3,246,6,1,Cro,pokret,fill
3,955,4,1,Cro,siroče,fill
3,418,7,1,Cro,vijeće,fill
3,285,7,1,Cro,cijena,fill
3,326,7,1,Cro,radnik,fill
3,52,11,1,Eng,party,yes
3,258,2,1,Eng,banner,no
3,212,3,1,Cro,naslonjač,Cro
3,329,6,1,Cro,greška,fill
3,336,4,1,Cro,vepar,fill
3,2127,8,1,Cro,svodnik,fill
3,201,2,1,Eng,hattrick,no
3,573,9,1,Cro,gotovina,fill
3,288,9,1,Cro,vrtić,fill
3,252,3,1,Cro,zagrljaj,Cro
3,380,9,1,Cro,učenje,fill
3,457,6,1,Cro,ozljeda,fill
3,317,9,1,Cro,proljeće,fill
3,422,9,1,Cro,trudnoća,fill
3,321,4,1,Cro,slagalica,fill
3,324,4,1,Cro,vidra,fill
3,321,9,1,Cro,lanac,fill
3,471,11,1,Eng,nature,yes
3,362,6,1,Cro,prijava,fill
3,608,7,1,Cro,knjiga,fill
3,308,3,1,Cro,umorstvo,Cro
3,392,5,1,Cro,mačka,fill
3,242,8,1,Cro,čaplja,fill
3,237,8,1,Cro,škrtost,fill
3,231,11,1,Eng,brand,yes
3,550,11,1,Eng,research,yes
3,326,9,1,Cro,ovisnost,fill
3,394,9,1,Cro,gorivo,fill
3,325,9,1,Cro,kotač,fill
3,289,8,1,Cro,drvosječa,fill
3,158,7,1,Cro,tvrtka,fill
3,231,5,1,Cro,umjetnik,fill
3,381,3,1,Cro,cvrčak,Cro
3,220,5,1,Cro,djevojka,fill
3,1575,2,1,Eng,firmware,no
3,2827,9,1,Cro,stablo,fill
3,245,4,1,Cro,strijela,fill
3,466,8,1,Cro,tamničar,fill
3,152,6,1,Cro,okvir,fill
3,490,11,1,Eng,winter,yes
3,499,2,1,Eng,evergreen,no
3,902,3,1,Cro,golubica,Cro
3,165,6,1,Cro,tvornica,fill
3,357,9,1,Cro,jezero,fill
3,996,11,1,Eng,spice,yes
3,300,2,1,Eng,jackpot,no
3,241,8,1,Cro,rupčić,fill
3,250,6,1,Cro,sunce,fill
3,607,3,1,Cro,bilježnik,Cro
3,570,3,1,Cro,zvečka,Cro
3,235,5,1,Cro,pisac,fill
3,92,9,1,Cro,pozornica,fill
3,125,9,1,Cro,izlet,fill
3,143,5,1,Cro,trgovac,fill
3,316,2,1,Eng,catwalk,no
3,357,11,1,Eng,garden,yes
3,179,2,0,Eng,developer,no
3,1096,8,1,Cro,bivol,fill
3,321,11,1,Eng,night,yes
3,474,9,1,Cro,postrojba,fill
3,1130,4,1,Cro,nosorog,fill
3,339,9,1,Cro,rečenica,fill
3,299,2,1,Eng,inbox,no
3,274,3,1,Cro,kabanica,Cro
3,214,5,1,Cro,odvjetnik,fill
3,269,11,1,Eng,gamer,yes
3,244,9,1,Cro,autocesta,fill
3,338,9,1,Cro,posada,fill
3,208,7,1,Cro,država,fill
3,210,5,1,Cro,krava,fill
3,318,3,1,Cro,ubrus,Cro
3,158,8,1,Cro,lasica,fill
3,194,2,1,Eng,wellness,no
3,153,2,1,Eng,firewall,no
3,152,5,1,Cro,kralj,fill
3,41,11,1,Eng,cherry,yes
3,256,9,1,Cro,vojska,fill
3,240,8,1,Cro,pospanac,fill
3,289,5,1,Cro,biljka,fill
3,945,8,1,Cro,čuperak,fill
3,554,7,1,Cro,borba,fill
3,408,4,0,Cro,vrtlar,fill
3,249,6,1,Cro,lopta,fill
3,338,4,1,Cro,nesanica,fill
3,369,6,1,Cro,sastanak,fill
3,433,9,1,Cro,plaža,fill
3,365,3,1,Cro,vrućica,Cro
3,418,9,1,Cro,oluja,fill
3,333,7,1,Cro,zaštita,fill
3,276,4,1,Cro,sprovod,fill
3,549,9,1,Cro,smijeh,fill
3,172,9,1,Cro,bitka,fill
3,118,8,0,Cro,džepar,fill
3,637,8,1,Cro,šiljilo,fill
3,645,11,1,Eng,event,yes
3,1470,6,1,Cro,zvijezda,fill
3,285,2,1,Eng,fairplay,no
3,486,8,1,Cro,skorbut,fill
3,194,2,1,Eng,casting,no
3,164,6,1,Cro,radionica,fill
3,141,8,1,Cro,stonoga,fill
3,57,7,1,Cro,plaća,fill
3,115,2,1,Eng,snowboard,no
3,282,11,1,Eng,company,yes
3,130,5,1,Cro,dječak,fill
3,266,4,1,Cro,maslac,fill
3,289,6,1,Cro,časopis,fill
3,356,5,1,Cro,pjevač,fill
3,844,11,1,Eng,player,yes
3,157,9,1,Cro,haljina,fill
3,92,6,1,Cro,nogomet,fill
3,674,6,1,Cro,mlijeko,fill
3,496,9,1,Cro,jabuka,fill
3,254,5,1,Cro,prvak,fill
3,615,9,1,Cro,šećer,fill
3,119,9,1,Cro,večera,fill
3,153,3,1,Cro,štaka,Cro
3,196,5,1,Cro,slikar,fill
3,963,4,1,Cro,mesnica,fill
3,404,4,1,Cro,zvono,fill
3,155,9,1,Cro,kutija,fill
3,593,2,1,Eng,webshop,no
3,198,9,1,Cro,bolnica,fill
3,73,2,1,Eng,summit,no
3,174,11,1,Eng,color,yes
3,120,2,1,Eng,crossover,no
3,166,11,1,Eng,display,yes
3,218,3,1,Cro,zaporka,Cro
3,315,2,1,Eng,curry,no
3,358,9,1,Cro,trgovina,fill
3,282,4,1,Cro,crijep,fill
3,474,9,1,Cro,majica,fill
3,31,6,1,Cro,pismo,fill
3,435,4,1,Cro,krastača,fill
3,151,8,1,Cro,jarebica,fill
3,161,6,1,Cro,ljeto,fill
3,262,6,1,Cro,prilog,fill
3,406,4,1,Cro,kobasica,fill
3,488,9,1,Cro,mišić,fill
3,413,5,1,Cro,supruga,fill
3,150,6,1,Cro,stanica,fill
3,980,4,0,Cro,trska,fill
3,419,9,0,Cro,policija,fill
3,132,11,1,Eng,street,yes
3,197,3,1,Cro,gusjenica,Cro
3,42,11,1,Eng,racing,yes
3,195,2,1,Eng,lifestyle,no
3,256,7,1,Cro,vlasnik,fill
3,347,3,1,Cro,litica,Cro
3,255,6,1,Cro,računalo,fill
3,469,3,1,Cro,odvod,Cro
3,360,2,1,Eng,backup,no
3,349,9,1,Cro,vjetar,fill
3,425,7,1,Cro,odbor,fill
3,222,9,1,Cro,rođenje,fill
3,248,9,1,Cro,obrana,fill
3,168,5,1,Cro,domaćin,fill
3,280,3,1,Cro,kliješta,Cro
3,96,11,1,Eng,store,yes
3,289,7,1,Cro,crkva,fill
3,1435,9,1,Cro,obrazac,fill
3,195,5,1,Cro,ovisnik,fill
3,207,11,1,Eng,gaming,yes
3,15,11,0,Eng,rookie,yes
3,856,5,1,Cro,kraljica,fill
3,543,5,1,Cro,župnik,fill
3,213,8,1,Cro,podmetač,fill
3,238,9,1,Cro,planina,fill
3,273,7,1,Cro,usluga,fill
3,80,7,1,Cro,stranica,fill
3,41,9,1,Cro,sloboda,fill
3,389,7,1,Cro,prijatelj,fill
3,216,3,1,Cro,vidra,Cro
3,713,8,1,Cro,bubuljica,fill
3,127,4,1,Cro,otirač,fill
3,327,4,1,Cro,rokovnik,fill
3,163,8,1,Cro,žalac,fill
3,109,4,1,Cro,gubitnik,fill
3,277,7,1,Cro,razvoj,fill
3,185,7,1,Cro,potreba,fill
3,20,3,1,Cro,ronilac,Cro
3,124,5,1,Cro,borac,fill
3,80,8,1,Cro,šmokljan,fill
3,350,8,0,Cro,obad,fill
3,429,9,1,Cro,ulica,fill
3,184,2,1,Eng,gameplay,no
3,32,3,1,Cro,odijelo,Cro
3,250,9,1,Cro,krilo,fill
3,1153,3,1,Cro,maćeha,Cro
3,306,7,1,Cro,općina,fill
3,280,11,1,Eng,button,yes
3,327,11,1,Eng,cinema,yes
3,110,9,1,Cro,kuhinja,fill
3,177,6,1,Cro,izvješće,fill
3,103,4,1,Cro,bušilica,fill
3,91,7,1,Cro,nagrada,fill
