Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
5,276,4,1,Cro,madež,fill
5,489,3,1,Cro,straža,Cro
5,381,3,1,Cro,motika,Cro
5,744,5,1,Cro,ptica,fill
5,69,3,1,Cro,dugme,Cro
5,269,9,1,Cro,kuhinja,fill
5,1767,7,0,Cro,bolest,fill
5,1660,8,1,Cro,pretisak,fill
5,221,4,1,Cro,tobogan,fill
5,262,6,1,Cro,imovina,fill
5,19,3,1,Cro,čekić,Cro
5,176,2,1,Eng,router,no
5,267,6,1,Cro,izvješće,fill
5,803,11,1,Eng,grill,yes
5,276,9,1,Cro,torba,fill
5,1169,3,1,Cro,griva,Cro
5,611,5,1,Cro,dečko,fill
5,365,5,1,Cro,pobjednik,fill
5,620,4,1,Cro,krvnik,fill
5,278,9,1,Cro,rođendan,fill
5,96,5,1,Cro,suprug,fill
5,1075,3,1,Cro,sumrak,Cro
5,373,7,1,Cro,mjesec,fill
5,333,8,0,Cro,kiparica,fill
5,610,11,1,Eng,stage,yes
5,717,8,1,Cro,tronožac,fill
5,255,6,1,Cro,obala,fill
5,185,9,1,Cro,ubojstvo,fill
5,1220,2,1,Eng,catering,no
5,840,11,1,Eng,cinema,yes
5,737,6,1,Cro,poziv,fill
5,244,11,1,Eng,button,yes
5,280,7,1,Cro,škola,fill
5,432,7,1,Cro,učenik,fill
5,1471,8,1,Cro,gležnjača,fill
5,843,3,1,Cro,toljaga,Cro
5,3047,6,1,Cro,kazna,fill
5,247,9,1,Cro,stolica,fill
5,185,7,1,Cro,nagrada,fill
5,240,5,1,Cro,nogometaš,fill
5,571,11,1,Eng,music,yes
5,1132,8,1,Cro,gojaznost,fill
5,890,4,1,Cro,vjetrovka,fill
5,933,9,0,Cro,živac,fill
5,244,2,1,Eng,outfit,no
5,444,9,1,Cro,spavanje,fill
5,330,4,1,Cro,doušnik,fill
5,668,8,1,Cro,odvijač,fill
5,586,9,1,Cro,požar,fill
5,890,2,1,Eng,hashtag,no
5,1258,2,1,Eng,roaming,no
5,197,9,1,Cro,pošta,fill
5,652,3,1,Cro,ukosnica,Cro
5,314,2,1,Eng,styling,no
5,446,6,1,Cro,prozor,fill
5,290,6,1,Cro,kazalište,fill
5,172,2,1,Eng,selfie,no
5,419,9,1,Cro,ključ,fill
5,916,4,1,Cro,upaljač,fill
5,225,2,1,Eng,software,no
5,358,4,1,Cro,bušilica,fill
5,409,2,1,Eng,muffin,no
5,201,5,1,Cro,putnik,fill
5,677,8,1,Cro,podvezica,fill
5,673,5,0,Cro,ubojica,fill
5,403,6,1,Cro,izmjena,fill
5,833,9,1,Cro,uzorak,fill
5,416,8,0,Cro,klizačica,fill
5,194,5,1,Cro,seljak,fill
5,939,3,1,Cro,mravinjak,Cro
5,564,4,1,Cro,grofica,fill
5,423,9,1,Cro,otpad,fill
5,659,11,1,Eng,gadget,yes
5,984,3,1,Cro,brodolom,Cro
5,261,11,1,Eng,family,yes
5,154,9,1,Cro,pojas,fill
5,118,9,1,Cro,potraga,fill
5,1195,5,1,Cro,vojnik,fill
5,338,7,1,Cro,stoljeće,fill
5,382,11,1,Eng,freak,yes
5,245,2,1,Eng,smoothie,no
5,567,7,1,Cro,voda,fill
5,378,7,1,Cro,mišljenje,fill
5,370,9,1,Cro,rijeka,fill
5,813,7,1,Cro,izvor,fill
5,457,6,1,Cro,roman,fill
5,542,8,0,Cro,stjenica,fill
5,404,11,1,Eng,silver,yes
5,165,9,1,Cro,kamion,fill
5,297,9,1,Cro,postaja,fill
5,365,9,1,Cro,zlato,fill
5,240,9,1,Cro,dućan,fill
5,271,11,1,Eng,browser,yes
5,1192,8,1,Cro,batrljak,fill
5,393,4,1,Cro,tjesnac,fill
5,267,4,1,Cro,zadah,fill
5,140,7,1,Cro,majka,fill
5,157,6,1,Cro,volja,fill
5,485,9,1,Cro,obavijest,fill
5,273,5,1,Cro,sudac,fill
5,1115,9,1,Cro,vrtić,fill
5,340,11,1,Eng,night,yes
5,430,8,0,Cro,pospanac,fill
5,40,11,1,Eng,party,yes
5,761,7,1,Cro,cijena,fill
5,801,9,1,Cro,postrojba,fill
5,93,5,1,Cro,odvjetnik,fill
5,32,5,1,Cro,djevojka,fill
5,334,2,1,Eng,hattrick,no
5,377,11,1,Eng,cherry,yes
5,195,6,1,Cro,tvornica,fill
5,143,2,1,Eng,inbox,no
5,180,4,1,Cro,siroče,fill
5,379,9,1,Cro,oluja,fill
5,244,8,1,Cro,čuperak,fill
5,301,2,1,Eng,evergreen,no
5,185,9,1,Cro,lanac,fill
5,473,9,1,Cro,jezero,fill
5,269,7,1,Cro,zaštita,fill
5,251,8,0,Cro,lasica,fill
5,726,4,1,Cro,nesanica,fill
5,245,3,1,Cro,cvrčak,Cro
5,215,6,1,Cro,sunce,fill
5,1125,5,0,Cro,biljka,fill
5,137,4,1,Cro,vidra,fill
5,411,4,1,Cro,slagalica,fill
5,627,9,0,Cro,vojska,fill
5,199,11,1,Eng,winter,yes
5,603,9,1,Cro,posada,fill
5,305,9,1,Cro,autocesta,fill
5,251,4,0,Cro,vrtlar,fill
5,266,8,1,Cro,škrtost,fill
5,383,5,0,Cro,trgovac,fill
5,240,6,1,Cro,okvir,fill
5,388,3,1,Cro,kabanica,Cro
5,514,9,1,Cro,pozornica,fill
5,374,4,1,Cro,strijela,fill
5,529,9,1,Cro,gorivo,fill
5,180,9,1,Cro,rečenica,fill
5,461,6,1,Cro,pokret,fill
5,251,4,1,Cro,vepar,fill
5,190,3,1,Cro,ubrus,Cro
5,373,11,1,Eng,spice,yes
5,211,11,1,Eng,nature,yes
5,1060,3,1,Cro,zagrljaj,Cro
5,285,8,1,Cro,bivol,fill
5,372,7,0,Cro,tijelo,fill
5,875,8,1,Cro,čaplja,fill
5,255,9,1,Cro,izlet,fill
5,379,2,0,Eng,developer,no
5,435,5,1,Cro,pisac,fill
5,203,5,1,Cro,krava,fill
5,57,7,1,Cro,muškarac,fill
5,264,3,1,Cro,vrućica,Cro
5,30,5,1,Cro,kralj,fill
5,273,7,1,Cro,tvrtka,fill
5,914,7,1,Cro,knjiga,fill
5,1486,5,1,Cro,umjetnik,fill
5,1510,9,0,Cro,trudnoća,fill
5,689,7,1,Cro,borba,fill
5,266,9,1,Cro,kotač,fill
5,286,8,1,Cro,svodnik,fill
5,241,5,1,Cro,mačka,fill
5,245,11,1,Eng,research,yes
5,489,3,1,Cro,bilježnik,Cro
5,214,4,1,Cro,nosorog,fill
5,457,6,1,Cro,prijava,fill
5,315,5,1,Cro,glumica,fill
5,361,2,1,Eng,catwalk,no
5,274,9,1,Cro,plaža,fill
5,422,8,1,Cro,drvosječa,fill
5,195,11,1,Eng,brand,yes
5,239,6,1,Cro,greška,fill
5,209,9,1,Cro,gotovina,fill
5,120,7,1,Cro,radnik,fill
5,115,3,1,Cro,golubica,Cro
5,315,11,1,Eng,garden,yes
5,135,4,1,Cro,kamenica,fill
5,200,3,1,Cro,zvečka,Cro
5,205,6,1,Cro,sastanak,fill
