Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
29,214,8,1,Cro,tronožac,fill
29,482,2,1,Eng,catering,no
29,105,11,1,Eng,button,yes
29,157,11,1,Eng,gadget,yes
29,879,4,1,Cro,madež,fill
29,158,9,1,Cro,kamion,fill
29,311,4,1,Cro,upaljač,fill
29,69,7,1,Cro,bolest,fill
29,221,5,1,Cro,pobjednik,fill
29,1694,7,1,Cro,učenik,fill
29,188,3,1,Cro,čekić,Cro
29,162,9,1,Cro,obavijest,fill
29,496,7,0,Cro,mišljenje,fill
29,368,9,1,Cro,zlato,fill
29,479,8,1,Cro,batrljak,fill
29,1171,3,1,Cro,ukosnica,Cro
29,58,9,1,Cro,torba,fill
29,157,5,1,Cro,ubojica,fill
29,133,11,1,Eng,grill,yes
29,8,5,1,Cro,suprug,fill
29,587,6,1,Cro,izmjena,fill
29,243,6,1,Cro,izvješće,fill
29,612,11,1,Eng,browser,yes
29,160,5,1,Cro,nogometaš,fill
29,485,6,1,Cro,volja,fill
29,783,8,1,Cro,kiparica,fill
29,1208,9,1,Cro,rođendan,fill
29,50,2,1,Eng,software,no
29,532,2,1,Eng,router,no
29,121,4,1,Cro,krvnik,fill
29,1147,8,0,Cro,stjenica,fill
29,46,9,1,Cro,pojas,fill
29,1688,11,1,Eng,silver,yes
29,431,8,1,Cro,gležnjača,fill
29,713,6,0,Cro,roman,fill
29,443,8,1,Cro,gojaznost,fill
29,950,8,1,Cro,pretisak,fill
29,120,6,1,Cro,kazna,fill
29,127,2,1,Eng,selfie,no
29,352,9,1,Cro,spavanje,fill
29,1307,9,0,Cro,požar,fill
29,406,3,1,Cro,sumrak,Cro
29,196,11,1,Eng,music,yes
29,554,5,1,Cro,dečko,fill
29,419,7,1,Cro,izvor,fill
29,541,8,1,Cro,klizačica,fill
29,245,3,1,Cro,brodolom,Cro
29,1733,9,0,Cro,rijeka,fill
29,499,3,1,Cro,griva,Cro
29,168,7,1,Cro,majka,fill
29,179,9,1,Cro,ubojstvo,fill
29,276,11,1,Eng,cinema,yes
29,390,7,1,Cro,mjesec,fill
29,148,5,1,Cro,sudac,fill
29,391,4,1,Cro,vjetrovka,fill
29,214,2,1,Eng,smoothie,no
29,424,9,1,Cro,živac,fill
29,428,11,1,Eng,family,yes
29,346,9,1,Cro,potraga,fill
29,143,9,1,Cro,dućan,fill
29,1301,7,1,Cro,stoljeće,fill
29,384,3,0,Cro,mravinjak,Cro
29,769,9,1,Cro,postaja,fill
29,288,2,1,Eng,outfit,no
29,1261,6,1,Cro,obala,fill
29,202,3,1,Cro,motika,Cro
29,182,9,1,Cro,ključ,fill
29,100,4,1,Cro,tobogan,fill
29,280,5,1,Cro,putnik,fill
29,235,4,1,Cro,grofica,fill
29,412,9,1,Cro,otpad,fill
29,285,11,1,Eng,freak,yes
29,426,4,1,Cro,zadah,fill
29,344,7,1,Cro,škola,fill
29,52,5,1,Cro,ptica,fill
29,242,2,1,Eng,hashtag,no
29,426,2,1,Eng,styling,no
29,251,3,0,Cro,straža,Cro
29,290,9,1,Cro,stolica,fill
29,314,6,1,Cro,prozor,fill
29,240,9,1,Cro,kuhinja,fill
29,704,5,0,Cro,seljak,fill
29,572,9,1,Cro,pošta,fill
29,120,4,1,Cro,doušnik,fill
29,77,6,1,Cro,kazalište,fill
29,156,2,1,Eng,roaming,no
29,320,8,1,Cro,odvijač,fill
29,203,9,1,Cro,uzorak,fill
29,78,8,1,Cro,podvezica,fill
29,145,2,1,Eng,muffin,no
29,256,6,1,Cro,poziv,fill
29,194,3,1,Cro,dugme,Cro
29,265,5,1,Cro,vojnik,fill
29,313,7,1,Cro,nagrada,fill
29,422,3,1,Cro,toljaga,Cro
29,202,6,1,Cro,imovina,fill
29,171,11,1,Eng,stage,yes
29,216,4,1,Cro,bušilica,fill
29,185,4,1,Cro,tjesnac,fill
29,311,7,1,Cro,voda,fill
29,342,8,1,Cro,čuperak,fill
29,311,6,1,Cro,sastanak,fill
29,251,5,1,Cro,glumica,fill
29,256,7,1,Cro,muškarac,fill
29,214,9,1,Cro,učenje,fill
29,305,8,1,Cro,rupčić,fill
29,266,5,1,Cro,krava,fill
29,821,2,1,Eng,banner,no
29,217,3,1,Cro,vrućica,Cro
29,261,9,1,Cro,posada,fill
29,504,4,1,Cro,nosorog,fill
29,329,11,1,Eng,brand,yes
29,273,9,1,Cro,ovisnost,fill
29,810,7,1,Cro,tijelo,fill
29,212,4,1,Cro,slagalica,fill
29,183,11,1,Eng,cherry,yes
29,167,7,1,Cro,tvrtka,fill
29,1339,6,1,Cro,greška,fill
29,224,11,1,Eng,spice,yes
29,202,2,1,Eng,inbox,no
29,97,7,1,Cro,zaštita,fill
29,248,4,1,Cro,strijela,fill
29,480,6,1,Cro,tvornica,fill
29,161,9,1,Cro,autocesta,fill
29,872,9,1,Cro,vrtić,fill
29,190,7,1,Cro,radnik,fill
29,204,2,1,Eng,firewall,no
29,169,2,1,Eng,hattrick,no
29,170,5,1,Cro,mačka,fill
29,245,4,1,Cro,vepar,fill
29,204,9,1,Cro,jezero,fill
29,287,9,1,Cro,lanac,fill
29,257,11,0,Eng,gamer,yes
29,161,8,1,Cro,drvosječa,fill
29,344,9,1,Cro,plaža,fill
29,231,2,1,Eng,wellness,no
29,209,9,1,Cro,vojska,fill
29,247,9,1,Cro,rečenica,fill
29,1016,9,1,Cro,proljeće,fill
29,166,11,1,Eng,research,yes
29,890,6,1,Cro,prijava,fill
29,432,5,1,Cro,trgovac,fill
29,349,5,1,Cro,odvjetnik,fill
29,187,4,1,Cro,vidra,fill
29,497,9,1,Cro,kotač,fill
29,155,11,1,Eng,night,yes
29,240,11,1,Eng,garden,yes
29,595,6,1,Cro,okvir,fill
29,1043,9,0,Cro,stablo,fill
29,435,8,1,Cro,pospanac,fill
29,159,8,1,Cro,tamničar,fill
29,238,5,1,Cro,kralj,fill
29,163,7,1,Cro,cijena,fill
29,637,2,1,Eng,jackpot,no
29,458,8,0,Cro,bivol,fill
29,161,5,1,Cro,biljka,fill
29,191,3,1,Cro,zvečka,Cro
29,57,9,1,Cro,gotovina,fill
29,89,3,1,Cro,naslonjač,Cro
29,605,2,0,Eng,developer,no
29,12,11,1,Eng,winter,yes
29,270,8,1,Cro,lasica,fill
29,545,7,1,Cro,borba,fill
29,195,9,0,Cro,trudnoća,fill
29,110,2,1,Eng,evergreen,no
29,477,4,1,Cro,nesanica,fill
29,997,9,1,Cro,pozornica,fill
29,453,7,0,Cro,vijeće,fill
29,156,5,1,Cro,djevojka,fill
29,937,11,1,Eng,party,yes
29,588,6,0,Cro,sunce,fill
29,598,7,1,Cro,knjiga,fill
29,183,4,0,Cro,kamenica,fill
29,135,9,1,Cro,gorivo,fill
29,192,8,1,Cro,čaplja,fill
29,178,3,1,Cro,cvrčak,Cro
29,36,9,1,Cro,oluja,fill
29,317,9,1,Cro,postrojba,fill
29,71,6,1,Cro,povratak,fill
29,41,5,1,Cro,umjetnik,fill
29,262,3,1,Cro,golubica,Cro
29,143,3,1,Cro,kabanica,Cro
29,28,6,1,Cro,pokret,fill
29,195,4,1,Cro,siroče,fill
29,483,3,1,Cro,zagrljaj,Cro
29,575,2,1,Eng,catwalk,no
29,198,9,1,Cro,izlet,fill
29,90,3,1,Cro,umorstvo,Cro
29,717,8,1,Cro,škrtost,fill
29,109,11,0,Eng,nature,yes
29,140,3,1,Cro,ubrus,Cro
29,132,7,1,Cro,država,fill
29,38,6,1,Cro,lopta,fill
29,51,4,0,Cro,vrtlar,fill
29,17,4,1,Cro,sprovod,fill
29,11,5,1,Cro,pisac,fill
29,286,2,1,Eng,firmware,no
29,47,3,1,Cro,bilježnik,Cro
29,23,6,1,Cro,ozljeda,fill
29,86,8,1,Cro,svodnik,fill
29,87,9,1,Cro,bolnica,fill
29,1654,6,1,Cro,stanica,fill
29,28,7,1,Cro,crkva,fill
29,70,3,1,Cro,odvod,Cro
29,911,7,1,Cro,općina,fill
29,161,8,1,Cro,šiljilo,fill
29,927,9,1,Cro,kutija,fill
29,296,5,1,Cro,slikar,fill
29,362,2,1,Eng,snowboard,no
29,395,4,1,Cro,otirač,fill
29,34,5,1,Cro,supruga,fill
29,116,4,1,Cro,mesnica,fill
29,447,5,1,Cro,dječak,fill
29,160,8,1,Cro,skorbut,fill
29,479,11,1,Eng,event,yes
29,133,7,1,Cro,vlasnik,fill
29,443,9,1,Cro,sloboda,fill
29,159,11,1,Eng,gaming,yes
29,561,11,1,Eng,display,yes
29,372,7,0,Cro,odbor,fill
29,365,2,1,Eng,curry,no
29,453,9,1,Cro,mišić,fill
29,536,4,1,Cro,gubitnik,fill
29,223,3,1,Cro,gusjenica,Cro
29,222,4,0,Cro,trska,fill
29,432,9,1,Cro,večera,fill
29,1610,2,1,Eng,backup,no
29,173,4,1,Cro,rokovnik,fill
29,1308,11,1,Eng,company,yes
29,18,7,1,Cro,prijatelj,fill
29,78,2,1,Eng,summit,no
29,794,9,1,Cro,rođenje,fill
29,707,11,1,Eng,street,yes
29,216,7,1,Cro,usluga,fill
29,701,8,1,Cro,jarebica,fill
29,258,9,1,Cro,šećer,fill
29,318,9,1,Cro,trgovina,fill
29,326,2,1,Eng,webshop,no
29,91,8,1,Cro,stonoga,fill
29,68,6,1,Cro,nogomet,fill
29,103,2,1,Eng,casting,no
29,134,9,1,Cro,policija,fill
29,222,3,1,Cro,kliješta,Cro
29,87,4,1,Cro,zvono,fill
