Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
25,9760,11,1,Eng,player,yes
25,485,9,1,Cro,bolnica,fill
25,1780,8,0,Cro,žalac,fill
25,316,4,1,Cro,maslac,fill
25,972,9,1,Cro,sloboda,fill
25,247,11,1,Eng,color,yes
25,382,3,1,Cro,vidra,Cro
25,601,5,1,Cro,slikar,fill
25,379,6,1,Cro,nogomet,fill
25,295,9,1,Cro,bitka,fill
25,593,4,1,Cro,gubitnik,fill
25,1220,5,1,Cro,prvak,fill
25,1635,9,0,Cro,policija,fill
25,263,9,1,Cro,majica,fill
25,1133,4,1,Cro,crijep,fill
25,8668,8,0,Cro,skorbut,fill
25,394,5,1,Cro,domaćin,fill
25,198,3,1,Cro,odvod,Cro
25,308,7,1,Cro,usluga,fill
25,478,3,1,Cro,odijelo,Cro
25,471,3,1,Cro,litica,Cro
25,1113,8,1,Cro,podmetač,fill
25,264,5,1,Cro,kraljica,fill
25,1711,2,1,Eng,curry,no
25,804,2,1,Eng,summit,no
25,299,5,1,Cro,dječak,fill
25,1193,11,0,Eng,rookie,yes
25,526,9,0,Cro,mišić,fill
25,1511,9,1,Cro,rođenje,fill
25,248,3,1,Cro,gusjenica,Cro
25,194,9,0,Cro,jabuka,fill
25,589,5,1,Cro,borac,fill
25,197,2,1,Eng,lifestyle,no
25,152,6,1,Cro,časopis,fill
25,429,6,0,Cro,mlijeko,fill
25,282,7,1,Cro,razvoj,fill
25,355,9,1,Cro,obrazac,fill
25,667,9,1,Cro,haljina,fill
25,389,8,1,Cro,stonoga,fill
25,798,2,1,Eng,webshop,no
25,590,2,1,Eng,snowboard,no
25,381,9,0,Cro,vjetar,fill
25,201,4,0,Cro,trska,fill
25,1364,9,1,Cro,kutija,fill
25,494,9,1,Cro,smijeh,fill
25,188,11,1,Eng,display,yes
25,175,4,1,Cro,mesnica,fill
25,245,5,1,Cro,supruga,fill
25,227,6,1,Cro,računalo,fill
25,397,5,1,Cro,pjevač,fill
25,194,6,1,Cro,stanica,fill
25,350,7,1,Cro,prijatelj,fill
25,326,3,1,Cro,ronilac,Cro
25,285,4,1,Cro,krastača,fill
25,234,9,1,Cro,trgovina,fill
25,272,11,1,Eng,company,yes
25,506,4,0,Cro,kobasica,fill
25,1293,3,1,Cro,štaka,Cro
25,1127,6,1,Cro,pismo,fill
25,343,11,1,Eng,event,yes
25,351,7,1,Cro,odbor,fill
25,664,4,1,Cro,otirač,fill
25,617,8,1,Cro,džepar,fill
25,1145,8,0,Cro,bubuljica,fill
25,462,2,1,Eng,gameplay,no
25,239,7,1,Cro,stranica,fill
25,357,9,1,Cro,šećer,fill
25,283,6,1,Cro,ljeto,fill
25,930,9,0,Cro,planina,fill
25,295,4,1,Cro,rokovnik,fill
25,672,7,1,Cro,općina,fill
25,810,6,0,Cro,zvijezda,fill
25,320,3,1,Cro,zaporka,Cro
25,406,2,1,Eng,backup,no
25,1674,5,1,Cro,ovisnik,fill
25,796,6,1,Cro,prilog,fill
25,262,11,1,Eng,gaming,yes
25,189,2,1,Eng,casting,no
25,376,8,1,Cro,jarebica,fill
25,193,9,1,Cro,obrana,fill
25,229,6,1,Cro,radionica,fill
25,165,11,1,Eng,racing,yes
25,203,7,1,Cro,vlasnik,fill
25,424,7,1,Cro,crkva,fill
25,211,11,1,Eng,store,yes
25,743,9,0,Cro,krilo,fill
25,227,3,1,Cro,maćeha,Cro
25,532,9,1,Cro,večera,fill
25,190,7,1,Cro,plaća,fill
25,978,8,1,Cro,obad,fill
25,315,4,1,Cro,zvono,fill
25,206,3,1,Cro,kliješta,Cro
25,298,5,1,Cro,župnik,fill
25,269,9,1,Cro,ulica,fill
25,826,8,1,Cro,šmokljan,fill
25,299,11,1,Eng,street,yes
25,644,8,1,Cro,šiljilo,fill
25,603,7,1,Cro,potreba,fill
25,214,2,1,Eng,crossover,no
25,199,2,1,Eng,fairplay,no
25,1066,4,0,Cro,kamenica,fill
25,449,5,1,Cro,kralj,fill
25,395,2,1,Eng,evergreen,no
25,566,4,1,Cro,sprovod,fill
25,279,5,1,Cro,pisac,fill
25,785,8,1,Cro,bivol,fill
25,527,8,1,Cro,škrtost,fill
25,854,9,1,Cro,vojska,fill
25,255,4,0,Cro,vrtlar,fill
25,435,11,1,Eng,night,yes
25,266,7,1,Cro,muškarac,fill
25,910,3,1,Cro,bilježnik,Cro
25,2029,9,1,Cro,pozornica,fill
25,832,2,1,Eng,firewall,no
25,1005,8,1,Cro,čaplja,fill
25,263,7,1,Cro,država,fill
25,375,4,1,Cro,vepar,fill
25,304,11,1,Eng,winter,yes
