Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
20,1464,11,1,Eng,research,yes
20,500,8,1,Cro,škrtost,fill
20,521,6,1,Cro,okvir,fill
20,1414,7,0,Cro,tvrtka,fill
20,1394,11,1,Eng,night,yes
20,894,3,0,Cro,zagrljaj,Cro
20,593,3,1,Cro,kabanica,Cro
20,642,3,0,Cro,vrućica,Cro
20,817,8,0,Cro,čuperak,fill
20,267,4,1,Cro,siroče,fill
20,242,9,1,Cro,posada,fill
20,831,2,1,Eng,developer,no
20,334,3,1,Cro,golubica,Cro
20,392,6,1,Cro,povratak,fill
20,374,2,1,Eng,evergreen,no
20,679,6,1,Cro,prijava,fill
20,277,9,1,Cro,gotovina,fill
20,515,7,1,Cro,cijena,fill
20,193,8,1,Cro,čaplja,fill
20,213,5,1,Cro,biljka,fill
20,820,9,1,Cro,gorivo,fill
20,456,4,1,Cro,vidra,fill
20,1205,9,1,Cro,učenje,fill
20,794,4,1,Cro,nesanica,fill
20,634,7,1,Cro,vijeće,fill
20,1039,9,1,Cro,vrtić,fill
20,881,6,1,Cro,greška,fill
20,1064,8,1,Cro,rupčić,fill
20,770,11,1,Eng,gamer,yes
20,293,4,1,Cro,slagalica,fill
20,297,5,1,Cro,umjetnik,fill
20,757,11,1,Eng,party,yes
20,442,2,1,Eng,hattrick,no
20,1213,7,0,Cro,borba,fill
20,1397,9,1,Cro,izlet,fill
20,452,9,1,Cro,pozornica,fill
20,421,8,1,Cro,svodnik,fill
20,73,11,0,Eng,cherry,yes
20,601,5,1,Cro,glumica,fill
20,697,9,1,Cro,ovisnost,fill
20,448,8,1,Cro,tamničar,fill
20,380,5,1,Cro,mačka,fill
20,232,2,1,Eng,firmware,no
20,273,4,1,Cro,nosorog,fill
20,500,11,0,Eng,garden,yes
20,460,9,1,Cro,lanac,fill
20,407,9,0,Cro,proljeće,fill
20,152,8,1,Cro,drvosječa,fill
20,226,3,1,Cro,umorstvo,Cro
20,165,2,1,Eng,jackpot,no
20,696,4,0,Cro,kamenica,fill
20,247,9,1,Cro,plaža,fill
20,260,2,1,Eng,wellness,no
20,303,3,1,Cro,bilježnik,Cro
20,537,6,1,Cro,tvornica,fill
20,943,9,0,Cro,postrojba,fill
20,51,7,1,Cro,radnik,fill
20,298,3,1,Cro,zvečka,Cro
20,113,4,0,Cro,vrtlar,fill
20,57,9,1,Cro,kotač,fill
20,199,8,1,Cro,pospanac,fill
20,625,4,1,Cro,sprovod,fill
20,661,3,1,Cro,naslonjač,Cro
20,244,9,1,Cro,vojska,fill
20,190,2,1,Eng,inbox,no
20,1141,9,1,Cro,oluja,fill
20,179,7,1,Cro,zaštita,fill
20,346,7,1,Cro,država,fill
20,1014,6,1,Cro,ozljeda,fill
20,72,5,1,Cro,krava,fill
20,475,5,1,Cro,trgovac,fill
20,587,7,0,Cro,tijelo,fill
20,1011,8,1,Cro,bivol,fill
20,584,6,1,Cro,lopta,fill
20,1568,6,1,Cro,pokret,fill
20,538,5,1,Cro,djevojka,fill
20,987,11,1,Eng,brand,yes
20,370,3,1,Cro,ubrus,Cro
20,290,9,0,Cro,trudnoća,fill
20,181,3,1,Cro,cvrčak,Cro
20,559,6,1,Cro,sastanak,fill
20,617,2,1,Eng,firewall,no
20,737,5,1,Cro,pisac,fill
20,395,9,1,Cro,stablo,fill
20,399,11,1,Eng,winter,yes
20,674,9,1,Cro,jezero,fill
20,211,4,1,Cro,strijela,fill
20,227,2,1,Eng,catwalk,no
20,370,8,1,Cro,lasica,fill
20,279,7,1,Cro,muškarac,fill
20,484,9,1,Cro,rečenica,fill
20,425,5,1,Cro,kralj,fill
20,30,5,1,Cro,odvjetnik,fill
20,317,4,1,Cro,vepar,fill
20,468,11,0,Eng,nature,yes
20,982,7,1,Cro,knjiga,fill
20,61,2,1,Eng,banner,no
20,483,9,1,Cro,autocesta,fill
20,751,6,0,Cro,sunce,fill
20,848,11,1,Eng,spice,yes
20,518,6,1,Cro,porez,fill
20,408,7,1,Cro,povijest,fill
20,832,5,1,Cro,savjetnik,fill
20,298,6,1,Cro,udarac,fill
20,332,4,1,Cro,udovac,fill
20,321,8,1,Cro,krojačica,fill
20,526,9,1,Cro,klupa,fill
20,445,9,1,Cro,oporavak,fill
20,602,3,1,Cro,jecaj,Cro
20,365,9,1,Cro,staklo,fill
20,1688,3,1,Cro,krijes,Cro
20,384,11,1,Eng,account,yes
20,782,8,1,Cro,gušterica,fill
20,464,11,1,Eng,secret,yes
20,915,6,1,Cro,pokušaj,fill
20,401,2,1,Eng,leasing,no
20,1340,11,1,Eng,cargo,yes
20,388,6,1,Cro,kamen,fill
20,197,9,1,Cro,snijeg,fill
20,395,2,1,Eng,blogger,no
20,285,2,1,Eng,website,no
20,307,8,1,Cro,najamnik,fill
20,279,8,1,Cro,britva,fill
20,452,4,1,Cro,sljepilo,fill
20,308,9,1,Cro,spomenik,fill
20,38,9,1,Cro,izjava,fill
