Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
27,126,9,1,Cro,mišić,fill
27,300,5,1,Cro,dječak,fill
27,450,5,1,Cro,ovisnik,fill
27,209,3,1,Cro,štaka,Cro
27,202,8,1,Cro,šmokljan,fill
27,208,6,1,Cro,stanica,fill
27,224,4,1,Cro,kobasica,fill
27,504,3,1,Cro,gusjenica,Cro
27,192,6,1,Cro,zvijezda,fill
27,270,9,1,Cro,planina,fill
27,325,11,1,Eng,racing,yes
27,206,5,1,Cro,supruga,fill
27,139,2,1,Eng,snowboard,no
27,156,11,1,Eng,gaming,yes
27,173,7,1,Cro,potreba,fill
27,98,7,1,Cro,plaća,fill
27,208,9,1,Cro,krilo,fill
27,196,5,1,Cro,župnik,fill
27,317,8,1,Cro,podmetač,fill
27,896,9,0,Cro,policija,fill
27,307,6,1,Cro,prilog,fill
27,190,4,1,Cro,zvono,fill
27,238,8,1,Cro,stonoga,fill
27,144,6,1,Cro,ljeto,fill
27,176,2,1,Eng,curry,no
27,211,11,1,Eng,color,yes
27,165,2,1,Eng,backup,no
27,82,9,1,Cro,smijeh,fill
27,251,4,1,Cro,maslac,fill
27,188,11,1,Eng,display,yes
27,213,5,1,Cro,borac,fill
27,148,7,1,Cro,usluga,fill
27,42,4,1,Cro,mesnica,fill
27,262,9,1,Cro,sloboda,fill
27,284,9,1,Cro,vjetar,fill
27,375,8,1,Cro,džepar,fill
27,265,8,1,Cro,obad,fill
27,219,6,1,Cro,računalo,fill
27,129,8,1,Cro,šiljilo,fill
27,177,4,1,Cro,crijep,fill
27,158,9,1,Cro,majica,fill
27,932,4,1,Cro,krastača,fill
27,301,6,1,Cro,pismo,fill
27,21,11,1,Eng,company,yes
27,259,2,1,Eng,webshop,no
27,285,7,1,Cro,vlasnik,fill
27,242,2,1,Eng,summit,no
27,257,11,1,Eng,event,yes
27,356,7,1,Cro,stranica,fill
27,259,8,1,Cro,bubuljica,fill
27,392,4,1,Cro,gubitnik,fill
27,338,3,1,Cro,vidra,Cro
27,350,2,1,Eng,gameplay,no
27,221,9,1,Cro,rođenje,fill
27,125,8,1,Cro,skorbut,fill
27,209,9,1,Cro,trgovina,fill
27,212,3,1,Cro,maćeha,Cro
27,222,7,1,Cro,prijatelj,fill
27,343,7,1,Cro,razvoj,fill
27,168,3,1,Cro,kliješta,Cro
27,108,2,1,Eng,fairplay,no
27,202,6,1,Cro,mlijeko,fill
27,242,9,1,Cro,obrana,fill
27,1654,3,1,Cro,zaporka,Cro
27,487,11,1,Eng,player,yes
27,259,7,1,Cro,općina,fill
27,224,11,1,Eng,street,yes
27,202,5,1,Cro,pjevač,fill
27,535,5,1,Cro,prvak,fill
