Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
18,528,7,1,Cro,nagrada,fill
18,889,2,1,Eng,router,no
18,631,9,1,Cro,kuhinja,fill
18,459,6,1,Cro,izvješće,fill
18,513,4,1,Cro,zadah,fill
18,628,9,1,Cro,potraga,fill
18,1033,8,1,Cro,pretisak,fill
18,551,6,1,Cro,poziv,fill
18,731,6,1,Cro,obala,fill
18,774,4,1,Cro,grofica,fill
18,341,11,1,Eng,silver,yes
18,673,9,1,Cro,kamion,fill
18,868,5,1,Cro,nogometaš,fill
18,1081,9,1,Cro,dućan,fill
18,909,8,1,Cro,batrljak,fill
18,521,5,1,Cro,vojnik,fill
18,1008,8,1,Cro,gležnjača,fill
18,301,9,1,Cro,požar,fill
18,1371,11,0,Eng,family,yes
18,612,5,1,Cro,seljak,fill
18,773,9,1,Cro,zlato,fill
18,908,9,1,Cro,pošta,fill
18,642,9,1,Cro,ključ,fill
18,837,11,1,Eng,music,yes
18,821,9,1,Cro,rijeka,fill
18,689,6,1,Cro,izmjena,fill
18,759,9,1,Cro,spavanje,fill
18,298,2,1,Eng,catering,no
18,826,7,1,Cro,izvor,fill
18,605,9,1,Cro,rođendan,fill
18,1944,3,1,Cro,toljaga,Cro
18,742,9,1,Cro,uzorak,fill
18,1270,4,1,Cro,bušilica,fill
18,897,5,1,Cro,ptica,fill
18,350,8,1,Cro,odvijač,fill
18,782,7,1,Cro,stoljeće,fill
18,479,9,1,Cro,torba,fill
18,406,6,1,Cro,kazalište,fill
18,1033,8,1,Cro,stjenica,fill
18,252,7,1,Cro,voda,fill
18,766,6,1,Cro,prozor,fill
18,428,3,1,Cro,motika,Cro
18,1736,3,1,Cro,mravinjak,Cro
18,1119,8,0,Cro,klizačica,fill
18,1648,11,1,Eng,gadget,yes
18,2064,5,1,Cro,dečko,fill
18,601,5,1,Cro,suprug,fill
18,591,2,1,Eng,smoothie,no
18,275,7,1,Cro,škola,fill
18,358,7,1,Cro,mišljenje,fill
18,680,11,1,Eng,stage,yes
18,1516,3,0,Cro,griva,Cro
18,892,9,1,Cro,postaja,fill
18,853,11,0,Eng,freak,yes
18,297,2,1,Eng,hashtag,no
18,1327,4,1,Cro,vjetrovka,fill
18,328,9,1,Cro,pojas,fill
18,449,9,1,Cro,ubojstvo,fill
18,509,2,1,Eng,styling,no
18,498,3,0,Cro,straža,Cro
18,328,4,1,Cro,upaljač,fill
18,139,2,1,Eng,outfit,no
18,587,2,1,Eng,roaming,no
18,908,9,1,Cro,živac,fill
18,690,5,1,Cro,sudac,fill
18,2031,4,1,Cro,krvnik,fill
18,766,6,1,Cro,roman,fill
18,586,3,1,Cro,dugme,Cro
18,315,8,1,Cro,tronožac,fill
