Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
14,738,9,1,Cro,šećer,fill
14,572,3,1,Cro,odijelo,Cro
14,131,2,1,Eng,backup,no
14,169,7,1,Cro,plaća,fill
14,562,7,1,Cro,crkva,fill
14,135,9,1,Cro,obrazac,fill
14,629,3,1,Cro,gusjenica,Cro
14,426,8,0,Cro,džepar,fill
14,648,9,1,Cro,planina,fill
14,384,9,1,Cro,jabuka,fill
14,533,4,1,Cro,otirač,fill
14,523,9,1,Cro,bolnica,fill
14,492,11,1,Eng,gaming,yes
14,489,7,1,Cro,vlasnik,fill
14,695,5,1,Cro,kraljica,fill
14,451,9,1,Cro,sloboda,fill
14,466,4,1,Cro,mesnica,fill
14,515,9,1,Cro,majica,fill
14,463,5,1,Cro,župnik,fill
14,541,8,1,Cro,šmokljan,fill
14,377,9,0,Cro,policija,fill
14,504,2,1,Eng,fairplay,no
14,667,2,1,Eng,summit,no
14,350,2,1,Eng,snowboard,no
14,500,6,1,Cro,pismo,fill
14,735,9,1,Cro,bitka,fill
14,368,6,1,Cro,računalo,fill
14,422,8,1,Cro,skorbut,fill
14,504,7,1,Cro,potreba,fill
14,361,2,1,Eng,webshop,no
14,474,9,1,Cro,kutija,fill
14,357,8,1,Cro,bubuljica,fill
14,384,9,1,Cro,trgovina,fill
14,452,4,1,Cro,rokovnik,fill
14,492,11,0,Eng,rookie,yes
14,424,8,1,Cro,žalac,fill
14,229,6,1,Cro,časopis,fill
14,480,2,1,Eng,casting,no
14,408,6,1,Cro,nogomet,fill
14,310,4,1,Cro,zvono,fill
14,145,4,1,Cro,krastača,fill
14,518,5,1,Cro,domaćin,fill
14,328,4,1,Cro,kobasica,fill
14,391,11,1,Eng,player,yes
14,268,11,1,Eng,store,yes
14,356,8,1,Cro,jarebica,fill
14,400,7,1,Cro,razvoj,fill
14,216,5,1,Cro,supruga,fill
14,284,5,1,Cro,slikar,fill
14,329,5,1,Cro,ovisnik,fill
14,308,3,1,Cro,zaporka,Cro
14,392,7,1,Cro,stranica,fill
14,371,3,1,Cro,ronilac,Cro
14,263,8,1,Cro,podmetač,fill
14,562,11,1,Eng,company,yes
14,294,3,1,Cro,kliješta,Cro
14,231,11,1,Eng,color,yes
14,416,6,1,Cro,zvijezda,fill
14,167,3,1,Cro,vidra,Cro
14,270,7,1,Cro,prijatelj,fill
