Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
21,103,3,0,Cro,izdajica,Cro
21,367,8,1,Cro,sirutka,fill
21,882,7,1,Cro,novac,fill
21,347,4,1,Cro,udovac,fill
21,593,3,1,Cro,spavaćica,Cro
21,202,4,1,Cro,trijem,fill
21,1440,8,0,Cro,najamnik,fill
21,654,5,1,Cro,liječnik,fill
21,518,2,1,Eng,youtuber,no
21,176,3,1,Cro,jecaj,Cro
21,159,9,1,Cro,klupa,fill
21,132,9,1,Cro,vrhunac,fill
21,19,9,1,Cro,polica,fill
21,88,6,1,Cro,oprema,fill
21,15,9,1,Cro,grijanje,fill
21,92,9,1,Cro,samostan,fill
21,104,3,1,Cro,perika,Cro
21,384,2,1,Eng,leasing,no
21,877,2,1,Eng,charter,no
21,193,6,1,Cro,krevet,fill
21,262,2,1,Eng,blogger,no
21,186,7,1,Cro,novinar,fill
21,150,9,1,Cro,groblje,fill
21,327,5,1,Cro,stanovnik,fill
21,247,6,1,Cro,zadatak,fill
21,406,11,1,Eng,account,yes
21,361,4,1,Cro,mamurluk,fill
21,533,4,1,Cro,nesvijest,fill
21,510,4,1,Cro,poskok,fill
21,497,5,1,Cro,klinac,fill
21,188,11,1,Eng,tuning,yes
21,132,9,1,Cro,cipela,fill
21,378,8,1,Cro,britva,fill
21,502,11,1,Eng,trade,yes
21,571,9,1,Cro,šetnja,fill
21,396,9,1,Cro,poticaj,fill
21,206,6,1,Cro,porez,fill
21,291,11,1,Eng,fight,yes
21,227,7,1,Cro,pobjeda,fill
21,418,6,1,Cro,pokušaj,fill
21,289,9,1,Cro,sigurnost,fill
21,213,9,1,Cro,vrata,fill
21,110,9,1,Cro,potpis,fill
21,327,11,1,Eng,fashion,yes
21,304,11,1,Eng,shopping,yes
21,378,3,1,Cro,smetlište,Cro
21,293,8,1,Cro,krojačica,fill
21,152,4,1,Cro,ljuljačka,fill
21,757,4,1,Cro,zjenica,fill
21,235,5,1,Cro,svećenik,fill
21,142,9,1,Cro,jesen,fill
21,325,8,1,Cro,pribadača,fill
21,431,6,1,Cro,udarac,fill
21,348,6,1,Cro,kamen,fill
21,955,7,1,Cro,korisnik,fill
21,338,8,1,Cro,smetlar,fill
21,664,8,1,Cro,gušterica,fill
21,659,5,1,Cro,starac,fill
21,177,6,1,Cro,pjena,fill
21,350,9,1,Cro,izjava,fill
21,503,2,1,Eng,frontman,no
21,310,2,1,Eng,streaming,no
21,262,5,1,Cro,učitelj,fill
21,249,9,1,Cro,snijeg,fill
21,325,7,0,Cro,obitelj,fill
21,470,3,1,Cro,krijes,Cro
21,411,2,1,Eng,hardware,no
21,380,3,1,Cro,svila,Cro
21,449,8,1,Cro,nadničar,fill
21,281,4,1,Cro,mljekar,fill
21,368,3,1,Cro,svitanje,Cro
21,398,2,1,Eng,bluetooth,no
21,404,11,1,Eng,cargo,yes
21,334,9,1,Cro,spomenik,fill
21,318,7,1,Cro,povijest,fill
21,368,11,1,Eng,space,yes
21,325,5,1,Cro,vozač,fill
21,361,8,1,Cro,bolničar,fill
21,357,2,1,Eng,website,no
21,479,3,1,Cro,užina,Cro
21,388,4,1,Cro,hrčak,fill
21,283,3,1,Cro,slastičar,Cro
21,650,7,0,Cro,zajednica,fill
21,298,11,1,Eng,secret,yes
21,247,9,1,Cro,staklo,fill
21,471,9,1,Cro,zastava,fill
21,124,5,1,Cro,sestra,fill
21,554,8,1,Cro,fenjer,fill
21,138,6,1,Cro,dokaz,fill
21,324,5,1,Cro,savjetnik,fill
21,293,7,1,Cro,tjedan,fill
21,281,2,1,Eng,mobbing,no
21,450,11,1,Eng,mirror,yes
21,383,9,1,Cro,ručak,fill
21,206,9,1,Cro,oporavak,fill
21,283,7,1,Cro,glazba,fill
21,375,7,1,Cro,pjesma,fill
21,1105,4,1,Cro,sljepilo,fill
21,231,6,1,Cro,snimanje,fill
21,153,5,1,Cro,sportaš,fill
21,140,5,1,Cro,vojnik,fill
21,174,7,1,Cro,mjesec,fill
21,260,9,1,Cro,obavijest,fill
21,437,9,1,Cro,rijeka,fill
21,175,3,1,Cro,brodolom,Cro
21,158,9,1,Cro,torba,fill
21,648,7,1,Cro,bolest,fill
21,294,6,1,Cro,imovina,fill
21,145,5,1,Cro,dečko,fill
21,1129,11,1,Eng,freak,yes
21,984,6,1,Cro,roman,fill
21,894,11,1,Eng,cinema,yes
21,1117,9,1,Cro,ubojstvo,fill
21,922,2,1,Eng,router,no
21,624,4,1,Cro,madež,fill
21,514,9,1,Cro,zlato,fill
21,313,11,1,Eng,button,yes
21,487,9,1,Cro,pošta,fill
21,667,4,1,Cro,bušilica,fill
21,380,5,1,Cro,seljak,fill
21,366,4,1,Cro,vjetrovka,fill
21,351,3,1,Cro,sumrak,Cro
21,341,6,1,Cro,prozor,fill
21,502,4,1,Cro,zadah,fill
21,442,7,1,Cro,nagrada,fill
21,524,7,1,Cro,majka,fill
21,446,2,1,Eng,software,no
21,498,8,1,Cro,gojaznost,fill
21,363,9,1,Cro,kuhinja,fill
21,298,9,1,Cro,živac,fill
21,354,9,1,Cro,pojas,fill
21,387,2,1,Eng,hashtag,no
21,589,3,1,Cro,griva,Cro
21,674,8,1,Cro,kiparica,fill
21,406,4,1,Cro,upaljač,fill
21,569,2,1,Eng,roaming,no
21,692,2,1,Eng,selfie,no
21,760,6,1,Cro,obala,fill
21,196,5,1,Cro,sudac,fill
21,438,7,1,Cro,mišljenje,fill
21,467,7,1,Cro,škola,fill
21,450,4,1,Cro,tjesnac,fill
21,601,6,1,Cro,izmjena,fill
21,1612,6,1,Cro,volja,fill
21,644,9,1,Cro,stolica,fill
21,362,8,1,Cro,podvezica,fill
21,94,7,1,Cro,stoljeće,fill
21,543,11,1,Eng,music,yes
21,278,8,0,Cro,stjenica,fill
21,96,4,1,Cro,doušnik,fill
21,725,9,1,Cro,požar,fill
21,210,9,1,Cro,ključ,fill
21,422,2,1,Eng,smoothie,no
21,1955,11,1,Eng,stage,yes
21,412,3,1,Cro,dugme,Cro
21,1483,6,1,Cro,kazalište,fill
21,986,11,1,Eng,browser,yes
21,486,3,1,Cro,ukosnica,Cro
21,606,9,1,Cro,dućan,fill
21,380,5,1,Cro,nogometaš,fill
21,990,3,1,Cro,straža,Cro
21,309,11,1,Eng,grill,yes
21,755,3,0,Cro,mravinjak,Cro
21,410,6,1,Cro,kazna,fill
21,292,5,1,Cro,putnik,fill
21,569,9,1,Cro,potraga,fill
21,296,2,1,Eng,styling,no
21,339,8,1,Cro,klizačica,fill
21,312,7,1,Cro,voda,fill
21,510,8,1,Cro,odvijač,fill
21,1088,2,1,Eng,muffin,no
21,686,3,1,Cro,motika,Cro
21,547,8,1,Cro,pretisak,fill
21,888,8,1,Cro,gležnjača,fill
21,438,5,1,Cro,ubojica,fill
21,445,2,1,Eng,catering,no
21,565,9,1,Cro,postaja,fill
21,334,9,1,Cro,spavanje,fill
21,1353,6,1,Cro,poziv,fill
21,668,9,1,Cro,rođendan,fill
21,332,11,1,Eng,family,yes
21,434,5,1,Cro,pobjednik,fill
21,436,8,1,Cro,batrljak,fill
21,486,4,1,Cro,tobogan,fill
21,232,5,1,Cro,ptica,fill
21,267,7,1,Cro,učenik,fill
21,1318,8,1,Cro,tronožac,fill
21,530,7,1,Cro,izvor,fill
21,644,4,1,Cro,krvnik,fill
21,553,11,1,Eng,silver,yes
21,313,3,1,Cro,čekić,Cro
21,108,9,1,Cro,kamion,fill
21,439,6,1,Cro,izvješće,fill
21,460,9,1,Cro,otpad,fill
21,491,5,1,Cro,suprug,fill
21,589,3,1,Cro,toljaga,Cro
21,386,9,1,Cro,uzorak,fill
21,620,11,1,Eng,gadget,yes
21,588,2,1,Eng,outfit,no
21,627,4,1,Cro,grofica,fill
21,360,4,1,Cro,rokovnik,fill
21,327,8,1,Cro,žalac,fill
21,423,6,1,Cro,prilog,fill
21,261,9,1,Cro,majica,fill
21,300,5,1,Cro,borac,fill
21,338,5,1,Cro,domaćin,fill
21,291,11,1,Eng,color,yes
21,217,11,1,Eng,racing,yes
21,469,3,1,Cro,odijelo,Cro
21,323,7,1,Cro,plaća,fill
21,284,9,1,Cro,planina,fill
21,378,9,1,Cro,mišić,fill
21,361,11,0,Eng,rookie,yes
