Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
9,1595,2,0,Eng,blogger,no
9,1947,9,1,Cro,grijanje,fill
9,840,2,1,Eng,bluetooth,no
9,200,8,1,Cro,krojačica,fill
9,315,9,1,Cro,groblje,fill
9,1328,6,1,Cro,pokušaj,fill
9,1230,9,1,Cro,šetnja,fill
9,275,9,1,Cro,cipela,fill
9,431,7,1,Cro,novac,fill
9,247,4,1,Cro,hrčak,fill
9,284,4,1,Cro,zjenica,fill
9,235,11,1,Eng,trade,yes
9,240,8,0,Cro,nadničar,fill
9,435,6,1,Cro,pjena,fill
9,216,8,1,Cro,bolničar,fill
9,491,3,1,Cro,svila,Cro
9,808,9,1,Cro,klupa,fill
9,1187,11,1,Eng,fashion,yes
9,275,9,1,Cro,samostan,fill
9,233,9,1,Cro,oporavak,fill
9,362,5,1,Cro,sportaš,fill
9,332,6,1,Cro,oprema,fill
9,377,5,1,Cro,svećenik,fill
9,308,9,1,Cro,zastava,fill
9,392,5,1,Cro,savjetnik,fill
9,343,6,1,Cro,dokaz,fill
9,247,7,1,Cro,povijest,fill
9,307,2,1,Eng,frontman,no
9,269,2,1,Eng,website,no
9,315,3,1,Cro,užina,Cro
9,295,11,1,Eng,space,yes
9,279,11,1,Eng,mirror,yes
9,233,6,1,Cro,snimanje,fill
9,206,6,1,Cro,krevet,fill
9,246,3,1,Cro,izdajica,Cro
9,219,9,1,Cro,spomenik,fill
9,89,2,1,Eng,leasing,no
9,160,3,1,Cro,smetlište,Cro
9,170,11,1,Eng,shopping,yes
9,244,5,1,Cro,vozač,fill
9,175,2,0,Eng,youtuber,no
9,211,2,1,Eng,hardware,no
9,366,5,1,Cro,stanovnik,fill
9,210,8,1,Cro,britva,fill
9,203,9,1,Cro,vrata,fill
9,122,3,1,Cro,svitanje,Cro
9,155,8,1,Cro,najamnik,fill
9,237,9,1,Cro,polica,fill
9,247,4,1,Cro,trijem,fill
9,207,6,1,Cro,zadatak,fill
9,130,6,1,Cro,kamen,fill
9,199,6,1,Cro,porez,fill
9,174,7,1,Cro,korisnik,fill
9,271,9,1,Cro,potpis,fill
9,219,4,1,Cro,mamurluk,fill
9,196,4,1,Cro,nesvijest,fill
9,67,9,1,Cro,sigurnost,fill
9,221,8,1,Cro,smetlar,fill
9,218,11,1,Eng,account,yes
9,305,4,1,Cro,mljekar,fill
9,300,9,1,Cro,ručak,fill
9,252,7,0,Cro,obitelj,fill
9,303,8,1,Cro,fenjer,fill
9,156,4,1,Cro,sljepilo,fill
9,155,9,1,Cro,poticaj,fill
9,283,5,1,Cro,sestra,fill
9,249,5,1,Cro,starac,fill
9,232,4,1,Cro,udovac,fill
9,89,7,1,Cro,pjesma,fill
9,233,4,1,Cro,poskok,fill
9,267,4,1,Cro,ljuljačka,fill
9,277,8,1,Cro,gušterica,fill
9,237,7,1,Cro,glazba,fill
9,186,2,1,Eng,mobbing,no
9,236,9,1,Cro,izjava,fill
9,128,3,1,Cro,jecaj,Cro
9,199,3,1,Cro,perika,Cro
9,221,5,1,Cro,klinac,fill
9,316,7,1,Cro,novinar,fill
9,140,3,1,Cro,spavaćica,Cro
9,424,6,1,Cro,udarac,fill
9,34,2,1,Eng,charter,no
9,493,9,1,Cro,snijeg,fill
9,178,9,1,Cro,jesen,fill
9,152,11,1,Eng,tuning,yes
9,148,11,1,Eng,fight,yes
9,194,8,1,Cro,sirutka,fill
9,231,7,1,Cro,pobjeda,fill
9,154,5,1,Cro,učitelj,fill
9,207,7,1,Cro,tjedan,fill
9,236,7,0,Cro,zajednica,fill
9,211,11,1,Eng,cargo,yes
9,170,11,1,Eng,secret,yes
9,192,9,1,Cro,staklo,fill
9,332,8,1,Cro,pribadača,fill
9,201,5,1,Cro,liječnik,fill
9,242,3,1,Cro,krijes,Cro
9,158,9,1,Cro,vrhunac,fill
9,105,2,1,Eng,streaming,no
9,191,3,1,Cro,slastičar,Cro
9,182,6,1,Cro,sunce,fill
9,421,9,1,Cro,ovisnost,fill
9,218,11,1,Eng,nature,yes
9,104,9,1,Cro,gotovina,fill
9,158,9,1,Cro,gorivo,fill
9,158,7,1,Cro,država,fill
9,191,11,1,Eng,spice,yes
9,231,5,1,Cro,glumica,fill
9,270,6,1,Cro,sastanak,fill
9,188,6,1,Cro,prijava,fill
9,204,3,1,Cro,zagrljaj,Cro
9,226,6,1,Cro,lopta,fill
9,334,5,0,Cro,kralj,fill
9,333,7,1,Cro,radnik,fill
9,274,5,1,Cro,trgovac,fill
9,74,7,1,Cro,knjiga,fill
9,256,7,1,Cro,muškarac,fill
9,235,9,1,Cro,trudnoća,fill
9,168,9,1,Cro,plaža,fill
9,283,9,0,Cro,vojska,fill
9,146,5,1,Cro,krava,fill
9,15,2,0,Eng,developer,no
9,42,2,1,Eng,firewall,no
9,536,11,0,Eng,gamer,yes
9,184,11,1,Eng,research,yes
9,492,8,0,Cro,lasica,fill
9,31,5,0,Cro,biljka,fill
9,453,6,1,Cro,ozljeda,fill
9,396,8,1,Cro,bivol,fill
9,213,3,1,Cro,vrućica,Cro
9,220,4,0,Cro,vrtlar,fill
9,236,8,1,Cro,svodnik,fill
9,174,9,1,Cro,pozornica,fill
9,972,8,1,Cro,drvosječa,fill
9,1224,6,1,Cro,povratak,fill
9,441,9,1,Cro,rečenica,fill
9,733,5,1,Cro,odvjetnik,fill
9,515,11,1,Eng,party,yes
9,359,5,1,Cro,mačka,fill
9,330,3,1,Cro,golubica,Cro
9,282,9,1,Cro,izlet,fill
9,248,5,1,Cro,umjetnik,fill
9,294,9,0,Cro,postrojba,fill
9,293,6,1,Cro,pokret,fill
9,253,4,0,Cro,strijela,fill
9,247,2,1,Eng,catwalk,no
9,249,3,1,Cro,umorstvo,Cro
9,200,9,1,Cro,jezero,fill
9,226,2,1,Eng,evergreen,no
9,294,3,1,Cro,cvrčak,Cro
9,214,11,1,Eng,winter,yes
9,339,7,1,Cro,borba,fill
9,281,9,0,Cro,posada,fill
9,223,2,1,Eng,wellness,no
9,234,4,1,Cro,vepar,fill
9,216,6,1,Cro,okvir,fill
9,282,3,1,Cro,kabanica,Cro
9,175,3,1,Cro,zvečka,Cro
9,330,4,1,Cro,nosorog,fill
9,293,2,1,Eng,firmware,no
9,209,9,1,Cro,oluja,fill
9,282,7,1,Cro,zaštita,fill
9,196,4,1,Cro,kamenica,fill
9,344,5,1,Cro,pisac,fill
9,69,4,1,Cro,nesanica,fill
9,240,3,1,Cro,bilježnik,Cro
9,217,11,1,Eng,garden,yes
9,181,4,1,Cro,siroče,fill
9,109,11,1,Eng,night,yes
9,165,9,0,Cro,lanac,fill
9,258,8,0,Cro,tamničar,fill
9,436,7,0,Cro,tijelo,fill
9,303,9,1,Cro,učenje,fill
9,315,8,0,Cro,čuperak,fill
9,275,4,1,Cro,slagalica,fill
9,305,11,0,Eng,brand,yes
9,204,8,1,Cro,škrtost,fill
9,304,8,1,Cro,rupčić,fill
9,280,3,1,Cro,naslonjač,Cro
9,171,9,1,Cro,kotač,fill
9,58,7,1,Cro,cijena,fill
9,115,2,1,Eng,hattrick,no
9,146,6,1,Cro,greška,fill
9,160,4,1,Cro,vidra,fill
9,218,6,1,Cro,tvornica,fill
9,272,2,1,Eng,banner,no
9,165,9,1,Cro,proljeće,fill
9,290,9,1,Cro,autocesta,fill
9,679,7,1,Cro,tvrtka,fill
9,258,4,1,Cro,sprovod,fill
9,195,3,1,Cro,ubrus,Cro
9,338,7,1,Cro,vijeće,fill
9,266,8,1,Cro,pospanac,fill
9,481,11,1,Eng,cherry,yes
9,283,9,1,Cro,vrtić,fill
9,202,2,1,Eng,jackpot,no
9,221,2,1,Eng,inbox,no
9,390,5,1,Cro,djevojka,fill
9,346,8,0,Cro,čaplja,fill
9,351,9,1,Cro,stablo,fill
9,433,2,1,Eng,router,no
9,141,4,1,Cro,madež,fill
9,258,3,1,Cro,ukosnica,Cro
9,152,6,1,Cro,volja,fill
9,84,3,1,Cro,sumrak,Cro
9,207,3,0,Cro,mravinjak,Cro
9,247,6,1,Cro,izvješće,fill
9,111,2,1,Eng,smoothie,no
9,17,11,1,Eng,cinema,yes
9,502,11,1,Eng,music,yes
9,1100,8,1,Cro,odvijač,fill
9,298,9,1,Cro,potraga,fill
9,266,5,1,Cro,pobjednik,fill
9,289,11,1,Eng,silver,yes
9,234,9,1,Cro,obavijest,fill
9,219,5,1,Cro,putnik,fill
9,284,3,1,Cro,griva,Cro
9,278,4,1,Cro,doušnik,fill
9,215,9,1,Cro,rijeka,fill
9,258,9,1,Cro,otpad,fill
9,191,8,1,Cro,podvezica,fill
9,262,9,1,Cro,požar,fill
9,221,3,1,Cro,motika,Cro
9,189,7,1,Cro,majka,fill
9,197,9,1,Cro,ključ,fill
9,235,7,1,Cro,bolest,fill
9,209,8,1,Cro,batrljak,fill
9,145,9,1,Cro,pošta,fill
9,238,8,1,Cro,gležnjača,fill
9,206,5,1,Cro,nogometaš,fill
9,208,9,1,Cro,stolica,fill
9,202,3,1,Cro,čekić,Cro
9,866,5,1,Cro,suprug,fill
9,261,2,1,Eng,roaming,no
9,282,2,1,Eng,software,no
9,260,9,1,Cro,kuhinja,fill
9,250,9,1,Cro,spavanje,fill
9,243,9,1,Cro,rođendan,fill
9,588,6,1,Cro,kazalište,fill
9,198,11,0,Eng,freak,yes
9,313,7,1,Cro,mišljenje,fill
9,266,8,0,Cro,kiparica,fill
9,314,8,1,Cro,klizačica,fill
9,433,11,1,Eng,browser,yes
9,391,9,1,Cro,živac,fill
9,371,6,1,Cro,roman,fill
9,368,3,1,Cro,brodolom,Cro
9,609,8,0,Cro,stjenica,fill
9,352,11,1,Eng,stage,yes
9,262,4,1,Cro,tjesnac,fill
9,469,2,1,Eng,muffin,no
9,3,6,1,Cro,izmjena,fill
9,170,9,1,Cro,kamion,fill
9,1131,4,1,Cro,bušilica,fill
9,251,4,1,Cro,zadah,fill
9,644,5,1,Cro,seljak,fill
9,416,5,1,Cro,dečko,fill
9,108,8,1,Cro,tronožac,fill
9,486,9,1,Cro,uzorak,fill
9,1323,9,1,Cro,ubojstvo,fill
9,493,4,1,Cro,krvnik,fill
9,408,4,1,Cro,tobogan,fill
9,448,11,1,Eng,grill,yes
9,223,6,1,Cro,obala,fill
9,344,6,1,Cro,imovina,fill
9,938,7,1,Cro,izvor,fill
9,502,3,1,Cro,dugme,Cro
9,429,3,1,Cro,toljaga,Cro
9,387,7,1,Cro,voda,fill
9,260,4,1,Cro,upaljač,fill
9,760,5,1,Cro,ptica,fill
9,480,2,1,Eng,hashtag,no
9,458,4,1,Cro,grofica,fill
9,129,5,1,Cro,ubojica,fill
9,382,7,1,Cro,učenik,fill
9,373,2,1,Eng,catering,no
9,2,7,1,Cro,stoljeće,fill
9,318,9,1,Cro,torba,fill
9,356,7,1,Cro,nagrada,fill
9,396,7,1,Cro,mjesec,fill
9,286,2,1,Eng,styling,no
9,218,11,1,Eng,gadget,yes
9,20,8,1,Cro,pretisak,fill
9,134,11,1,Eng,button,yes
9,491,2,1,Eng,outfit,no
9,649,3,0,Cro,straža,Cro
9,90,5,1,Cro,sudac,fill
9,335,11,1,Eng,family,yes
9,286,2,1,Eng,selfie,no
9,223,5,1,Cro,vojnik,fill
9,246,7,1,Cro,škola,fill
9,121,6,1,Cro,prozor,fill
9,622,9,1,Cro,dućan,fill
9,99,9,1,Cro,pojas,fill
9,464,9,1,Cro,postaja,fill
9,978,8,1,Cro,gojaznost,fill
9,365,6,1,Cro,poziv,fill
9,230,6,1,Cro,kazna,fill
9,257,9,1,Cro,zlato,fill
9,255,4,1,Cro,vjetrovka,fill
9,448,11,1,Eng,company,yes
9,68,11,1,Eng,store,yes
9,348,4,1,Cro,kobasica,fill
9,179,4,1,Cro,gubitnik,fill
9,411,9,1,Cro,kutija,fill
