Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
12,217,9,1,Cro,proljeće,fill
12,579,4,1,Cro,slagalica,fill
12,524,6,1,Cro,sunce,fill
12,285,6,1,Cro,okvir,fill
12,176,3,1,Cro,cvrčak,Cro
12,186,7,1,Cro,cijena,fill
12,189,11,1,Eng,winter,yes
12,86,11,1,Eng,garden,yes
12,467,11,1,Eng,brand,yes
12,124,9,0,Cro,vojska,fill
12,692,5,1,Cro,pisac,fill
12,347,8,1,Cro,čuperak,fill
12,960,6,1,Cro,sastanak,fill
12,120,6,1,Cro,lopta,fill
12,404,4,0,Cro,kamenica,fill
12,120,11,0,Eng,gamer,yes
12,282,9,1,Cro,posada,fill
12,281,9,1,Cro,učenje,fill
12,459,9,1,Cro,pozornica,fill
12,296,3,1,Cro,kabanica,Cro
12,794,4,1,Cro,vepar,fill
12,24,7,1,Cro,knjiga,fill
12,84,7,0,Cro,tijelo,fill
12,219,6,1,Cro,tvornica,fill
12,428,4,1,Cro,nesanica,fill
12,116,9,1,Cro,gotovina,fill
12,318,8,1,Cro,drvosječa,fill
12,361,5,0,Cro,krava,fill
12,1016,9,1,Cro,izlet,fill
12,356,2,1,Eng,jackpot,no
12,645,3,1,Cro,zagrljaj,Cro
12,582,8,1,Cro,lasica,fill
12,472,3,1,Cro,bilježnik,Cro
12,227,2,1,Eng,developer,no
12,117,2,1,Eng,firewall,no
12,342,7,1,Cro,zaštita,fill
12,690,2,1,Eng,catwalk,no
12,225,3,1,Cro,golubica,Cro
12,261,6,1,Cro,povratak,fill
12,151,3,1,Cro,zvečka,Cro
12,229,8,1,Cro,rupčić,fill
12,205,5,1,Cro,mačka,fill
12,273,5,1,Cro,kralj,fill
12,174,9,1,Cro,oluja,fill
12,177,5,1,Cro,djevojka,fill
12,218,11,1,Eng,spice,yes
12,415,3,1,Cro,naslonjač,Cro
12,173,5,1,Cro,glumica,fill
12,154,7,1,Cro,tvrtka,fill
12,429,8,1,Cro,pospanac,fill
12,152,7,1,Cro,muškarac,fill
12,155,8,1,Cro,škrtost,fill
12,157,6,1,Cro,ozljeda,fill
12,85,5,1,Cro,odvjetnik,fill
12,107,11,1,Eng,nature,yes
12,672,4,1,Cro,sprovod,fill
12,957,9,1,Cro,plaža,fill
12,200,2,1,Eng,evergreen,no
12,171,11,1,Eng,night,yes
12,471,6,1,Cro,pokret,fill
12,499,9,1,Cro,ovisnost,fill
12,766,9,1,Cro,jezero,fill
12,372,9,1,Cro,stablo,fill
12,460,9,1,Cro,autocesta,fill
12,943,11,1,Eng,cherry,yes
12,1066,3,1,Cro,ubrus,Cro
12,223,4,1,Cro,siroče,fill
12,276,4,1,Cro,strijela,fill
12,232,5,1,Cro,biljka,fill
12,194,7,1,Cro,vijeće,fill
12,307,2,1,Eng,banner,no
12,1209,11,1,Eng,research,yes
12,168,2,1,Eng,hattrick,no
12,203,2,1,Eng,wellness,no
12,149,2,1,Eng,firmware,no
12,130,6,1,Cro,greška,fill
12,362,4,1,Cro,vidra,fill
12,123,3,1,Cro,vrućica,Cro
12,143,7,1,Cro,država,fill
12,582,2,1,Eng,inbox,no
12,234,8,1,Cro,tamničar,fill
12,308,9,1,Cro,vrtić,fill
12,204,7,1,Cro,radnik,fill
12,209,9,1,Cro,rečenica,fill
12,145,11,1,Eng,party,yes
12,2111,9,0,Cro,postrojba,fill
12,249,4,0,Cro,vrtlar,fill
12,443,9,1,Cro,kotač,fill
12,286,6,1,Cro,prijava,fill
12,282,4,1,Cro,nosorog,fill
12,310,9,1,Cro,lanac,fill
12,298,9,1,Cro,gorivo,fill
12,241,5,1,Cro,trgovac,fill
12,186,7,1,Cro,borba,fill
12,178,8,1,Cro,čaplja,fill
12,499,8,1,Cro,svodnik,fill
12,200,5,1,Cro,umjetnik,fill
12,156,9,1,Cro,trudnoća,fill
12,204,8,1,Cro,bivol,fill
12,174,3,1,Cro,umorstvo,Cro
12,91,2,1,Eng,crossover,no
12,296,11,1,Eng,racing,yes
12,110,3,1,Cro,maćeha,Cro
